iter	Passed	Remaining
0	4	4737
1	7	3906
2	10	3428
3	14	3531
4	18	3618
5	21	3484
6	24	3525
7	27	3454
8	30	3371
9	34	3429
10	39	3541
11	146	12072
12	152	11557
13	158	11154
14	164	10807
15	170	10481
16	176	10205
17	182	9930
18	186	9611
19	190	9310
20	196	9140
21	201	8966
22	208	8847
23	214	8715
24	218	8521
25	220	8278
26	224	8078
27	228	7923
28	232	7787
29	236	7644
30	239	7475
31	241	7320
32	245	7200
33	248	7052
34	251	6923
35	254	6819
36	257	6705
37	260	6604
38	264	6513
39	268	6440
40	271	6344
41	274	6262
42	278	6191
43	280	6104
44	283	6024
45	286	5946
46	289	5861
47	292	5796
48	295	5728
49	298	5679
50	301	5611
51	305	5565
52	308	5521
53	312	5469
54	315	5416
55	318	5366
56	321	5320
57	324	5270
58	327	5228
59	331	5201
60	334	5152
61	337	5108
62	340	5058
63	342	5014
64	345	4976
65	348	4933
66	350	4886
67	353	4843
68	355	4799
69	359	4775
70	363	4754
71	366	4718
72	368	4683
73	371	4652
74	375	4625
75	378	4602
76	381	4569
77	383	4538
78	387	4513
79	390	4495
80	393	4469
81	396	4441
82	399	4419
83	403	4396
84	406	4373
85	409	4354
86	412	4327
87	414	4298
88	417	4272
89	421	4257
90	423	4234
91	427	4223
92	430	4203
93	433	4180
94	437	4164
95	440	4149
96	443	4125
97	445	4103
98	450	4097
99	452	4075
100	455	4058
101	458	4036
102	461	4016
103	463	3995
104	466	3977
105	469	3958
106	472	3942
107	475	3928
108	479	3917
109	483	3913
110	487	3905
111	490	3890
112	493	3870
113	496	3855
114	498	3838
115	502	3826
116	505	3812
117	508	3801
118	512	3790
119	515	3780
120	518	3768
121	522	3759
122	524	3742
123	527	3728
124	530	3712
125	533	3700
126	536	3688
127	539	3678
128	543	3668
129	547	3661
130	550	3649
131	552	3636
132	555	3620
133	558	3606
134	560	3593
135	563	3581
136	567	3575
137	570	3564
138	575	3566
139	581	3570
140	586	3571
141	592	3580
142	599	3592
143	604	3592
144	610	3598
145	616	3607
146	622	3613
147	628	3617
148	634	3623
149	640	3631
150	647	3639
151	652	3641
152	657	3642
153	663	3642
154	668	3643
155	674	3650
156	680	3655
157	684	3648
158	690	3652
159	697	3663
160	705	3674
161	710	3674
162	716	3678
163	722	3681
164	728	3684
165	733	3686
166	738	3685
167	743	3679
168	749	3683
169	755	3689
170	761	3690
171	767	3693
172	773	3696
173	779	3699
174	785	3702
175	788	3692
176	791	3682
177	796	3678
178	803	3684
179	806	3675
180	810	3665
181	814	3659
182	817	3648
183	820	3637
184	824	3630
185	827	3620
186	830	3609
187	833	3599
188	836	3587
189	839	3580
190	843	3572
191	847	3566
192	850	3554
193	852	3542
194	854	3526
195	857	3516
196	860	3506
197	864	3499
198	866	3487
199	869	3477
200	873	3471
201	876	3462
202	879	3453
203	883	3446
204	887	3440
205	890	3431
206	893	3422
207	896	3413
208	899	3405
209	902	3395
210	906	3388
211	909	3379
212	912	3370
213	915	3363
214	918	3354
215	921	3346
216	925	3340
217	928	3331
218	931	3323
219	935	3316
220	939	3310
221	942	3301
222	944	3290
223	947	3281
224	950	3272
225	952	3263
226	955	3253
227	958	3245
228	960	3234
229	963	3227
230	968	3223
231	971	3215
232	974	3208
233	977	3198
234	979	3189
235	982	3180
236	985	3172
237	988	3165
238	991	3156
239	994	3149
240	998	3146
241	1002	3138
242	1005	3131
243	1008	3124
244	1011	3116
245	1014	3108
246	1016	3099
247	1021	3097
248	1024	3089
249	1027	3082
250	1031	3077
251	1033	3067
252	1036	3060
253	1039	3052
254	1042	3046
255	1044	3036
256	1047	3027
257	1049	3019
258	1053	3012
259	1056	3006
260	1060	3002
261	1063	2994
262	1066	2988
263	1071	2987
264	1076	2986
265	1080	2982
266	1085	2978
267	1092	2983
268	1095	2975
269	1097	2967
270	1103	2967
271	1107	2963
272	1109	2955
273	1113	2949
274	1116	2943
275	1122	2944
276	1288	3362
277	1295	3363
278	1300	3361
279	1305	3357
280	1310	3352
281	1316	3351
282	1323	3352
283	1329	3350
284	1335	3351
285	1341	3348
286	1346	3345
287	1353	3345
288	1359	3345
289	1364	3341
290	1369	3337
291	1373	3329
292	1376	3321
293	1379	3311
294	1382	3302
295	1385	3294
296	1388	3285
297	1391	3277
298	1393	3268
299	1397	3260
300	1401	3253
301	1403	3244
302	1406	3236
303	1409	3227
304	1412	3219
305	1415	3211
306	1418	3202
307	1421	3194
308	1425	3186
309	1428	3179
310	1432	3172
311	1434	3164
312	1438	3157
313	1440	3148
314	1443	3138
315	1447	3132
316	1449	3122
317	1452	3114
318	1455	3107
319	1458	3099
320	1462	3093
321	1466	3086
322	1468	3078
323	1472	3071
324	1476	3066
325	1479	3059
326	1482	3052
327	1485	3043
328	1488	3035
329	1491	3027
330	1494	3020
331	1496	3011
332	1500	3005
333	1503	2997
334	1506	2989
335	1509	2982
336	1512	2974
337	1514	2967
338	1518	2960
339	1520	2952
340	1524	2946
341	1527	2938
342	1530	2932
343	1533	2925
344	1536	2916
345	1539	2910
346	1542	2903
347	1545	2896
348	1548	2889
349	1553	2885
350	1557	2880
351	1560	2873
352	1564	2866
353	1566	2858
354	1570	2852
355	1573	2845
356	1576	2838
357	1579	2831
358	1582	2825
359	1585	2818
360	1588	2812
361	1592	2806
362	1595	2799
363	1598	2792
364	1601	2786
365	1604	2779
366	1607	2772
367	1609	2764
368	1612	2758
369	1615	2751
370	1619	2745
371	1622	2739
372	1625	2732
373	1627	2724
374	1631	2719
375	1634	2713
376	1637	2705
377	1641	2700
378	1644	2693
379	1646	2687
380	1650	2681
381	1653	2675
382	1657	2669
383	1660	2663
384	1664	2658
385	1666	2651
386	1669	2644
387	1673	2639
388	1676	2632
389	1678	2625
390	1682	2621
391	1685	2614
392	1688	2608
393	1691	2602
394	1695	2596
395	1699	2591
396	1701	2584
397	1704	2578
398	1707	2572
399	1710	2566
400	1714	2561
401	1717	2554
402	1719	2547
403	1722	2540
404	1725	2534
405	1728	2528
406	1731	2522
407	1734	2516
408	1737	2510
409	1739	2503
410	1743	2498
411	1746	2492
412	1748	2485
413	1751	2479
414	1756	2476
415	1762	2473
416	1767	2471
417	1775	2471
418	1782	2471
419	1787	2469
420	1794	2468
421	1800	2466
422	1806	2464
423	1812	2462
424	1817	2459
425	1822	2455
426	1828	2453
427	1832	2449
428	1838	2446
429	1842	2442
430	1849	2441
431	1856	2440
432	1861	2438
433	1868	2436
434	1873	2432
435	1878	2430
436	1885	2428
437	1888	2423
438	1894	2420
439	1899	2417
440	1905	2414
441	1908	2409
442	1914	2406
443	1919	2403
444	1925	2401
445	1929	2396
446	1935	2394
447	1942	2393
448	1946	2388
449	1953	2387
450	1959	2385
451	1965	2382
452	1970	2379
453	1973	2373
454	1978	2370
455	1985	2368
456	1991	2365
457	1995	2361
458	1998	2355
459	2001	2349
460	2005	2344
461	2011	2342
462	2015	2337
463	2018	2331
