,DN,target,Name,x_centroid,y_centroid,area_m,perimeter,glaciersum,mean_elevation,median_elevation,std_elevation,min_elevation,max_elevation,range_elevation,variance_elevation,region,region_name,mean_slope,median_slope,std_slope,min_slope,max_slope,range_slope,variance_slope,glarea_percent,glacier,x_wgs,y_wgs,M,Rc,Cc,mean_annual_T,mean_jan_T,mean_july_T,mean_monsoon_T,mean_no_monsoon_T,count_zeros
20,14,0,FF,6535575.939,-509262.742,6269835.798,14338.699,853775.893,4902.843924326947,4941.5,424.75097841116633,3781.0,5872.0,2091.0,180413.39366124308,1,langtang,33.76140317682962,32.66154861450195,12.789606762873229,1.161399722099304,77.79623413085938,76.63483440876007,163.57404114893262,13.617197012916094,1,85.544,28.183,5235788.759367134,0.3832185603646509,1.6268701779990242,-1.0298767,-9.377777,6.9677734,3.7331238,-5.812683,10.3125
22,15,0,FF,6534658.866,-511855.042,6183156.04,17096.142,0.0,4587.194048204624,4638.0,353.4689547769899,3618.0,5355.0,1737.0,124940.30199113776,1,langtang,31.00783169247573,30.37295913696289,12.734974970623943,1.101815581321716,77.23986053466797,76.13804495334625,162.17958750241831,0.0,0,85.521,28.19,4319215.985112432,0.2658421482790977,1.9532788465964588,-1.0298767,-9.377777,6.9677734,3.7331238,-5.812683,10.3125
24,16,1,DF,6530428.821,-511253.674,2441676.447,9244.704,149028.441,5231.439775910364,5122.0,628.4692516328394,3721.0,6869.0,3148.0,394973.6002479412,1,langtang,45.50629929222869,45.668094635009766,11.592883397026467,10.96889305114746,71.81172180175781,60.84282875061035,134.39494545705193,6.103529449330024,1,85.524,28.235,4919022.178119457,0.3590144734656643,1.6808160524513118,-1.0298767,-9.377777,6.9677734,3.7331238,-5.812683,10.3125
25,17,1,DF,6535532.655,-521126.335,760.349,110.298,0.0,2906.999953561437,2889.5,19.241843393693763,2879.0,2907.0,28.0,370.2485371874363,1,langtang,41.74071990930525,37.75768280029297,4.55649755959507,34.583621978759766,41.74073028564453,7.157108306884766,20.761670010595825,0.0,0,85.441,28.173,772.0839436227126,0.7853939797370945,1.1364030267008771,4.086731,-3.7546997,11.184387,8.489807,-0.33459473,21.1875
26,20,1,DF,6543611.96,-504168.065,760.349,110.298,0.0,3706.99999197228,3705.0,5.315069508042809,3698.0,3711.0,13.0,28.24996387532643,1,langtang,17.439262276700795,17.4136323928833,2.34008149714541,12.903462409973145,18.591571807861328,5.688109397888184,5.475981413282305,0.0,0,85.594,28.102,358.46754525340225,0.7853939797370945,1.1364030267008771,0.90960693,-7.270813,8.5590515,5.587616,-3.788269,14.8125
27,21,1,DF,6541594.668,-496005.6,192368.234,3033.186,0.0,4740.486166007905,4755.0,181.5082310830921,4260.0,5154.0,894.0,32945.23795091317,1,langtang,40.45135572682256,38.02999877929688,10.594268946865045,22.278703689575195,69.14418029785156,46.86547660827637,112.23853451850898,0.0,0,85.664,28.13,392106.6409399668,0.2627514591519109,1.9647332614352464,1.1223755,-7.078644,8.7829895,5.828247,-3.603363,14.90625
28,22,1,DF,6541440.952,-494328.822,790762.701,6452.415,110387.206,4972.130769230769,4991.0,363.37142765752776,4192.0,5691.0,1499.0,132038.79443786995,1,langtang,34.63547667585886,33.8804817199707,11.580988687366364,2.795184373855591,69.6895751953125,66.89439082145691,134.11929897690766,13.959586847028085,1,85.678,28.133,1332983.3381965812,0.2386774866336648,2.0614387610171767,1.1223755,-7.078644,8.7829895,5.828247,-3.603363,14.90625
29,23,1,DF,6540771.795,-508717.845,760.349,110.298,0.0,4403.999990498355,4401.5,6.53834441896751,4393.0,4409.0,16.0,42.749947741043584,1,langtang,23.6922030275109,24.77840518951416,2.772339923689979,23.692195892333984,28.94962310791016,5.257427215576172,7.685868652485361,0.0,0,85.553,28.129,441.1908249272643,0.7853939797370945,1.1364030267008771,0.90960693,-7.270813,8.5590515,5.587616,-3.788269,14.8125
30,24,1,DF,6540909.667,-508635.122,760.349,110.298,0.0,4383.999994375203,4382.0,6.422614756720288,4374.0,4391.0,17.0,41.2499803132412,1,langtang,27.610842661180666,25.80196475982666,3.082892746103903,23.9333610534668,30.98795318603516,7.054592132568359,9.504227683980066,0.0,0,85.554,28.127,468.7652514852184,0.7853939797370945,1.1364030267008771,0.90960693,-7.270813,8.5590515,5.587616,-3.788269,14.8125
31,25,1,DF,6540854.518,-508414.526,760.349,110.298,0.0,4481.0000047775975,4480.0,7.017833913226116,4474.0,4493.0,19.0,49.24999283362658,1,langtang,27.89299453556995,28.06154441833496,1.125885426102578,25.83935546875,28.752880096435547,2.913524627685547,1.267617992710183,0.0,0,85.555,28.128,523.9141046011264,0.7853939797370945,1.1364030267008771,0.90960693,-7.270813,8.5590515,5.587616,-3.788269,14.8125
32,26,0,FF,6540926.449,-512775.181,14045991.23,22920.583,1779978.028,4840.033730373579,4878.0,414.8997569740017,3686.0,5696.0,2010.0,172141.80833708568,1,langtang,33.75172002820886,34.078697204589844,13.8377463817481,0.0,77.87797546386719,77.87797546386719,191.48322492558265,12.672498500484966,1,85.517,28.124,7533074.350378005,0.3359780745990561,1.7374835330340557,1.732666,-6.1365967,9.067535,6.2373047,-2.7906494,17.4375
33,27,1,DF,6542821.147,-508236.073,402984.838,4025.866,0.0,4340.277358490566,4362.5,202.06814761316247,3825.0,4658.0,833.0,40831.53627981482,1,langtang,41.286409230502144,42.56585502624512,11.973217200009184,2.595547676086426,68.34050750732422,65.7449598312378,143.3579301185958,0.0,0,85.558,28.107,528797.4529581076,0.3124495760023377,1.801715421774693,0.90960693,-7.270813,8.5590515,5.587616,-3.788269,14.8125
35,28,1,DF,6543896.943,-508438.939,596873.769,4301.61,0.0,4221.696815286624,4231.0,271.1012029098304,3685.0,4728.0,1043.0,73495.86221915703,1,langtang,45.6331869248372,46.957950592041016,10.117514966652273,1.835957169532776,69.08525848388672,67.24930131435394,102.36410910043271,0.0,0,85.557,28.096,805796.830927549,0.4053501061636265,1.581834415724583,0.90960693,-7.270813,8.5590515,5.587616,-3.788269,14.8125
36,29,1,DF,6542195.423,-508189.598,53224.413,1489.019,0.0,4107.171428571429,4112.5,83.93925889399709,3942.0,4271.0,329.0,7045.799183673471,1,langtang,42.896942315782816,45.58650779724121,14.411254415696064,10.402533531188965,69.28248596191406,58.8799524307251,207.68425383391929,0.0,0,85.558,28.114,75901.67117747145,0.3016617635009158,1.833648269531244,0.90960693,-7.270813,8.5590515,5.587616,-3.788269,14.8125
38,30,0,FF,6547426.579,-512361.005,1332131.011,6728.159,0.0,3328.641552511416,3325.5,351.4203915636117,2561.0,4114.0,1553.0,123496.29160672217,1,langtang,42.26455664689138,42.3250789642334,10.605565459718306,8.332958221435547,67.4222183227539,59.08926010131836,112.47801872036996,0.0,0,85.526,28.056,1792441.229582967,0.3697977889514003,1.656128422716186,1.732666,-6.1365967,9.067535,6.2373047,-2.7906494,17.4375
