iter	Passed	Remaining
0	3	3488
1	6	3105
2	10	3329
3	12	3112
4	15	3023
5	18	3049
6	21	3120
7	24	3099
8	108	11961
9	213	21109
10	323	29125
11	334	27511
12	340	25883
13	349	24579
14	354	23302
15	360	22165
16	365	21145
17	373	20401
18	380	19661
19	387	18999
20	395	18426
21	398	17697
22	401	17046
23	404	16454
24	407	15896
25	410	15372
26	413	14900
27	417	14484
28	420	14073
29	423	13694
30	426	13336
31	429	13001
32	432	12681
33	436	12399
34	440	12134
35	442	11858
36	446	11622
37	449	11366
38	452	11144
39	456	10956
40	460	10763
41	463	10566
42	466	10380
43	469	10199
44	472	10030
45	475	9865
46	478	9699
47	481	9559
48	484	9412
49	488	9284
50	492	9155
51	495	9027
52	498	8901
53	500	8775
54	504	8660
55	508	8568
56	511	8470
57	515	8379
58	518	8268
59	522	8178
60	524	8074
61	527	7978
62	530	7888
63	533	7800
64	536	7715
65	538	7627
66	541	7536
67	544	7458
68	547	7393
69	551	7330
70	554	7252
71	557	7181
72	560	7112
73	562	7042
74	565	6977
75	568	6911
76	571	6847
77	575	6802
78	580	6765
79	584	6719
80	587	6666
81	590	6613
82	594	6569
83	597	6516
84	601	6471
85	605	6431
86	608	6385
87	609	6318
88	612	6267
89	615	6227
90	619	6186
91	621	6134
92	624	6085
93	627	6043
94	630	6002
95	632	5958
96	635	5917
97	638	5877
98	641	5834
99	644	5804
100	648	5768
101	650	5729
102	653	5692
103	656	5654
104	659	5619
105	661	5582
106	664	5546
107	667	5513
108	670	5484
109	674	5460
110	678	5430
111	681	5399
112	684	5371
113	687	5344
114	690	5311
115	693	5283
116	696	5254
117	699	5225
118	702	5197
119	705	5171
120	708	5146
121	710	5116
122	713	5089
123	717	5070
124	720	5045
125	723	5020
126	726	4993
127	729	4970
128	731	4937
129	734	4917
130	738	4896
131	741	4874
132	744	4851
133	747	4829
134	750	4805
135	752	4782
136	756	4764
137	759	4745
138	763	4727
139	767	4712
140	770	4692
141	773	4671
142	775	4650
143	778	4627
144	785	4629
145	790	4622
146	795	4616
147	802	4618
148	807	4613
149	813	4609
150	819	4606
151	824	4600
152	828	4588
153	834	4585
154	839	4576
155	844	4566
156	849	4563
157	855	4559
158	861	4554
159	867	4555
160	873	4551
161	878	4546
162	885	4544
163	889	4533
164	895	4532
165	900	4525
166	906	4522
167	910	4509
168	915	4503
169	922	4504
170	927	4497
171	930	4481
172	934	4466
173	940	4465
174	945	4458
175	950	4451
176	956	4447
177	961	4440
178	967	4438
179	972	4431
180	978	4427
181	983	4420
182	990	4420
183	995	4414
184	1001	4412
185	1009	4416
186	1014	4410
187	1019	4402
188	1021	4384
189	1025	4371
190	1028	4355
191	1034	4354
192	1038	4343
193	1042	4330
194	1045	4317
195	1049	4306
196	1052	4292
197	1055	4274
198	1058	4260
199	1062	4251
200	1066	4239
201	1069	4224
202	1071	4207
203	1074	4193
204	1078	4181
205	1082	4170
206	1084	4156
207	1088	4142
208	1091	4132
209	1095	4120
210	1097	4105
211	1100	4090
212	1104	4079
213	1107	4067
