iter	Passed	Remaining
0	4	4962
1	10	5075
2	12	4229
3	15	3879
4	18	3714
5	21	3611
6	24	3436
7	27	3395
8	31	3480
9	35	3467
10	38	3447
11	41	3438
12	44	3413
13	47	3368
14	50	3313
15	53	3292
16	56	3271
17	59	3257
18	63	3269
19	67	3292
20	70	3280
21	73	3270
22	77	3285
23	80	3287
24	83	3251
25	86	3228
26	88	3206
27	92	3212
28	96	3237
29	100	3251
30	103	3246
31	106	3234
32	110	3225
33	112	3204
34	115	3197
35	119	3213
36	122	3201
37	125	3175
38	127	3151
39	131	3152
40	134	3153
41	138	3149
42	141	3145
43	144	3135
44	147	3130
45	150	3115
46	153	3112
47	156	3112
48	159	3094
49	162	3096
50	166	3089
51	168	3076
52	171	3065
53	173	3047
54	176	3039
55	179	3027
56	182	3011
57	185	3018
58	190	3043
59	195	3059
60	201	3107
61	207	3140
62	214	3187
63	218	3191
64	221	3180
65	223	3166
66	227	3162
67	232	3188
68	238	3220
69	242	3217
70	243	3191
71	247	3186
72	250	3180
73	253	3176
74	256	3166
75	260	3165
76	263	3160
77	266	3150
78	269	3141
79	272	3136
80	276	3139
81	280	3138
82	283	3131
83	286	3121
84	288	3110
85	291	3102
86	295	3099
87	298	3089
88	301	3083
89	304	3080
90	307	3075
91	310	3067
92	314	3063
93	317	3056
94	320	3056
95	324	3052
96	329	3067
97	432	3976
98	472	4302
99	478	4307
100	484	4311
101	489	4311
102	494	4303
103	500	4311
104	509	4346
105	518	4369
106	522	4363
107	527	4354
108	533	4357
109	537	4349
110	544	4359
111	548	4350
112	552	4336
113	555	4314
114	558	4294
115	561	4276
116	564	4261
117	567	4241
118	570	4220
119	573	4204
120	577	4191
121	579	4171
122	582	4155
123	585	4138
124	588	4120
125	591	4104
126	594	4088
127	597	4069
128	600	4051
129	602	4031
130	605	4018
131	609	4007
132	612	3990
133	615	3977
134	618	3966
135	622	3954
136	625	3941
137	628	3927
138	631	3910
139	634	3897
140	637	3886
141	640	3871
142	643	3858
143	646	3845
144	649	3832
145	652	3817
146	655	3804
147	658	3793
148	662	3782
149	665	3770
150	669	3761
151	671	3747
152	674	3734
153	677	3721
154	680	3709
155	683	3698
156	686	3687
157	689	3676
158	692	3665
159	696	3655
160	699	3646
161	704	3644
162	708	3635
163	711	3627
164	714	3614
165	717	3603
166	719	3588
167	722	3577
168	725	3565
169	728	3556
170	732	3550
171	735	3541
172	738	3532
173	742	3523
174	744	3510
175	747	3501
176	750	3490
177	753	3480
178	756	3469
179	760	3463
180	763	3455
181	767	3448
182	770	3440
183	772	3427
184	775	3417
185	778	3405
186	781	3397
187	784	3386
188	787	3377
189	790	3369
190	793	3362
191	796	3352
192	800	3345
193	803	3336
194	805	3326
195	808	3318
196	812	3310
197	814	3300
198	817	3289
199	820	3281
200	824	3275
201	827	3269
202	830	3259
203	833	3251
204	837	3247
205	840	3241
206	844	3234
207	847	3226
208	850	3218
209	853	3209
210	856	3202
211	859	3193
212	862	3186
213	865	3180
214	868	3172
215	872	3165
216	874	3156
217	877	3146
218	880	3139
219	883	3132
220	887	3127
221	889	3118
222	892	3110
223	896	3104
224	898	3096
225	902	3091
226	905	3083
227	911	3086
228	916	3084
229	922	3087
230	927	3086
231	933	3090
232	939	3092
233	944	3091
234	950	3093
235	955	3093
236	961	3094
237	966	3093
238	972	3096
239	979	3100
240	986	3108
241	992	3108
242	996	3104
243	1000	3100
244	1006	3102
245	1011	3099
246	1017	3101
247	1023	3103
248	1027	3099
249	1032	3096
250	1036	3092
251	1042	3094
252	1047	3093
253	1053	3093
254	1059	3094
255	1063	3092
256	1068	3090
257	1072	3085
258	1078	3085
259	1084	3087
260	1091	3089
261	1096	3087
262	1103	3092
263	1110	3096
264	1115	3093
265	1119	3089
266	1127	3096
267	1133	3096
268	1173	3189
269	1178	3187
270	1182	3180
271	1185	3172
272	1188	3163
273	1190	3155
274	1193	3147
275	1196	3139
276	1199	3130
277	1202	3123
278	1205	3116
279	1209	3109
280	1214	3107
281	1217	3100
282	1220	3091
283	1223	3083
284	1226	3076
285	1228	3067
286	1231	3059
287	1235	3054
288	1238	3046
289	1240	3037
290	1244	3031
291	1247	3024
292	1249	3015
293	1253	3009
294	1256	3001
295	1259	2995
296	1262	2987
297	1265	2980
298	1268	2972
299	1270	2965
300	1274	2959
301	1277	2952
302	1280	2946
303	1283	2938
304	1286	2930
305	1288	2923
306	1291	2916
307	1295	2909
308	1298	2902
309	1300	2894
310	1304	2890
311	1307	2882
312	1309	2874
313	1312	2868
314	1315	2861
315	1319	2856
316	1322	2849
317	1325	2842
318	1328	2836
319	1331	2830
320	1335	2825
321	1338	2817
322	1340	2809
323	1343	2803
324	1346	2796
325	1349	2790
326	1352	2783
327	1355	2777
328	1358	2769
329	1360	2762
330	1364	2757
331	1369	2754
332	1372	2749
333	1375	2742
334	1378	2737
335	1382	2731
336	1385	2725
337	1388	2719
338	1391	2712
339	1394	2706
340	1398	2703
341	1401	2697
342	1404	2690
343	1408	2685
344	1417	2691
345	1560	2949
346	1613	3037
347	1618	3032
348	1624	3029
349	1630	3027
350	1636	3025
351	1642	3023
352	1651	3027
353	1655	3021
354	1661	3018
355	1665	3011
356	1668	3005
357	1671	2996
358	1676	2993
359	1681	2989
360	1688	2988
361	1692	2983
362	1699	2981
363	1705	2980
364	1709	2974
365	1712	2967
366	1715	2958
367	1718	2950
368	1720	2942
369	1724	2935
370	1728	2930
371	1730	2922
372	1733	2914
373	1737	2907
374	1740	2900
375	1743	2893
376	1747	2887
377	1750	2881
378	1753	2873
379	1757	2867
380	1760	2861
381	1763	2853
382	1767	2846
383	1770	2840
384	1773	2832
385	1776	2825
386	1778	2817
387	1781	2809
388	1784	2802
389	1787	2796
390	1791	2790
391	1794	2782
392	1797	2775
393	1799	2768
394	1802	2761
395	1805	2754
396	1808	2746
397	1810	2738
398	1813	2731
399	1817	2725
400	1821	2720
401	1823	2712
402	1826	2706
403	1830	2699
404	1832	2692
405	1835	2685
406	1838	2678
407	1841	2671
408	1844	2665
409	1848	2659
410	1852	2654
411	1854	2647
412	1857	2640
413	1860	2634
414	1863	2627
415	1866	2619
416	1868	2612
417	1871	2605
418	1874	2598
419	1876	2591
420	1880	2586
421	1883	2579
422	1886	2572
423	1889	2566
424	1892	2559
425	1895	2553
426	1898	2547
427	1901	2540
428	1904	2534
429	1907	2528
430	1911	2523
431	1914	2517
432	1917	2510
433	1920	2504
434	1923	2498
435	1926	2492
436	1930	2487
437	1932	2480
438	1935	2473
439	1938	2467
440	1943	2463
441	1946	2456
442	1948	2450
443	1951	2444
444	1954	2437
445	1957	2431
446	1961	2426
447	1964	2420
448	1966	2413
449	1969	2407
450	1973	2402
451	1976	2395
452	1979	2389
453	1981	2383
454	1985	2377
455	1988	2371
456	1990	2365
457	1993	2359
458	1996	2353
459	1999	2347
460	2003	2341
461	2005	2335
462	2009	2330
463	2012	2325
464	2016	2319
465	2020	2314
466	2024	2310
467	2029	2306
468	2036	2305
469	2042	2303
470	2050	2302
471	2055	2299
472	2060	2296
473	2066	2293
474	2075	2293
475	2080	2289
476	2085	2286
477	2091	2283
478	2096	2280
479	2102	2277
480	2109	2275
481	2114	2272
482	2118	2267
483	2124	2264
484	2128	2259
485	2133	2256
