iter	Logloss
0	0.665927913
1	0.636580432
2	0.6111755875
3	0.5912019109
4	0.5705615273
5	0.5515182506
6	0.5319777377
7	0.5121943112
8	0.4949493776
9	0.4804078264
10	0.4684225917
11	0.4528664101
12	0.4395798861
13	0.4262211443
14	0.4127076034
15	0.4037866789
16	0.3967887389
17	0.3890481978
18	0.3798844082
19	0.3719189058
20	0.3635753958
21	0.3550518281
22	0.3474096564
23	0.3414254358
24	0.3364481403
25	0.3297104909
26	0.3246234541
27	0.317838657
28	0.3115899032
29	0.307999974
30	0.3026468557
31	0.2977125997
32	0.2930695009
33	0.2894670741
34	0.2852694768
35	0.2811351956
36	0.2775482637
37	0.2741720407
38	0.2710614197
39	0.2676365866
40	0.2651908189
41	0.2617778814
42	0.2585395855
43	0.2557962709
44	0.2536512337
45	0.2512983514
46	0.2483047233
47	0.2453042485
48	0.2432251332
49	0.240410704
50	0.2373289439
51	0.2350813917
52	0.2333330112
53	0.231092651
54	0.229217802
55	0.2278823244
56	0.2263854911
57	0.2250624227
58	0.2232525148
59	0.2208705386
60	0.2192836174
61	0.2181158734
62	0.2158032803
63	0.2144677586
64	0.2123641615
65	0.2105337978
66	0.2095302112
67	0.2091632638
68	0.207279841
69	0.2062161488
70	0.2059663004
71	0.2048247214
72	0.2040392755
73	0.2024610775
74	0.2015873858
75	0.2003782242
76	0.1985414586
77	0.1976093205
78	0.1971557413
79	0.1961098952
80	0.1949616923
81	0.1929107702
82	0.1921375083
83	0.1907100156
84	0.1886438473
85	0.1876733295
86	0.1866926523
87	0.1856771026
88	0.1845768554
89	0.182885341
90	0.1820756635
91	0.1805863524
92	0.1801091767
93	0.1796650639
94	0.1785193188
95	0.1776242325
96	0.1765722428
97	0.1759110975
98	0.1755212579
99	0.174697921
100	0.1736696517
101	0.1729430436
102	0.171765118
103	0.1707960297
104	0.1698670189
105	0.1694823992
106	0.1686503914
107	0.167287135
108	0.1662357887
109	0.1658636829
110	0.1649935602
111	0.1644573169
112	0.1630086835
113	0.1621628548
114	0.1614833969
115	0.1608669663
116	0.1604653991
117	0.1598658469
118	0.1588948505
119	0.1579384163
120	0.1569880201
121	0.1561871793
122	0.1554003489
123	0.1543428676
124	0.1532292333
125	0.1523814194
126	0.1518987515
127	0.1515603491
128	0.1512291591
129	0.1506160256
130	0.149986618
131	0.1492022955
132	0.1487919137
133	0.1481384513
134	0.147736391
135	0.1470558864
136	0.1461894447
137	0.1455465168
138	0.1443974288
139	0.1432233559
140	0.1427902157
141	0.1422743986
142	0.1414275943
143	0.1410483364
144	0.1405475969
145	0.1396033389
146	0.1389436425
147	0.1383777962
148	0.1378777767
149	0.137348234
150	0.1371385571
151	0.1363656969
152	0.1360283915
153	0.1352112617
154	0.1346609707
155	0.133691017
156	0.1331707259
157	0.1326690185
158	0.1317432253
159	0.1312731349
160	0.1308701614
161	0.1300060086
162	0.129723791
163	0.1293808517
164	0.1290469332
165	0.1285256208
166	0.1281335287
167	0.1275841089
168	0.1273970944
169	0.1268378233
170	0.1259900098
171	0.1255110487
172	0.1248594198
173	0.1246408503
174	0.1241874277
175	0.1233928331
176	0.1229011778
177	0.1223641852
178	0.1217747708
179	0.1210122919
180	0.1208013539
181	0.12023042
182	0.1196686204
183	0.1190758398
184	0.1183540851
185	0.1179996133
186	0.1175104022
187	0.1171426361
188	0.1166754083
189	0.1165024065
190	0.116167664
191	0.1155787368
192	0.1151091931
193	0.1145606988
194	0.1140359168
195	0.113630699
196	0.1128644833
197	0.1124272104
198	0.1120955979
199	0.1118652824
200	0.1114703907
201	0.1109920111
202	0.1106419705
203	0.1103100341
204	0.1098516711
205	0.1096460207
206	0.1095594569
207	0.1089537653
208	0.1085697286
209	0.1081363578
210	0.1077132862
211	0.1072673289
212	0.1068048913
213	0.1060107846
214	0.1054844144
215	0.1052047704
216	0.1050364151
217	0.104311633
218	0.1040779024
219	0.1031716948
220	0.1027724755
221	0.1024805746
222	0.1021801026
223	0.1018691235
224	0.1012522302
225	0.1008941078
226	0.1006765231
227	0.1005636785
228	0.1004746782
229	0.1002297625
230	0.09993952191
231	0.09945407813
232	0.09918363697
233	0.09897315597
234	0.09841858846
235	0.09819836841
236	0.09809332575
237	0.09769114714
238	0.09729971812
239	0.09660260097
240	0.09614586575
241	0.09592394154
242	0.09550043069
243	0.09495333552
244	0.09474911232
245	0.0941855027
246	0.09371929246
247	0.09322536058
248	0.09248042559
249	0.09204776916
250	0.09179537983
251	0.09139380846
252	0.09117936337
253	0.09106814186
254	0.09046063069
255	0.0902674879
256	0.08982805844
257	0.0897389526
258	0.08938228251
259	0.08897046044
260	0.08881646496
261	0.08805881265
262	0.08783034758
263	0.08741560841
264	0.08714928574
265	0.0870289207
266	0.08692835261
267	0.08647269412
268	0.08603281204
269	0.08562855664
270	0.08539070147
271	0.0851255032
272	0.08459941828
273	0.08412338348
274	0.08406622135
275	0.08398155037
276	0.08328159356
277	0.08283164835
278	0.08248012387
279	0.08215596601
280	0.08193368115
281	0.08130680174
282	0.08105557908
283	0.08069969662
284	0.08053873672
285	0.08030148783
286	0.0799635948
287	0.07971515693
288	0.07935248022
289	0.07928059099
290	0.07914616308
291	0.07874412147
292	0.0781911144
293	0.07777852076
294	0.07768864366
295	0.07731691778
296	0.07690598325
297	0.07631774391
298	0.07571009079
299	0.07526353577
300	0.07507248778
301	0.07488282868
302	0.07436205169
303	0.0742762258
304	0.07398468155
305	0.07362709176
306	0.07338129938
307	0.07286452977
308	0.0726863732
309	0.07249425448
310	0.07240746772
311	0.07211513472
312	0.07175752564
313	0.07153782202
314	0.07136599311
315	0.07099538077
316	0.07064660252
317	0.07032060344
318	0.07016143679
319	0.06985749799
320	0.06955523914
321	0.06933601989
322	0.06896701272
323	0.06889197765
324	0.06873885127
325	0.06842144909
326	0.06825699938
327	0.06797353374
328	0.06777524892
329	0.06739637379
330	0.06697172485
331	0.06678351494
332	0.06643883428
333	0.06623027402
334	0.0658414929
335	0.06567930603
336	0.0654979754
337	0.0654386141
338	0.0651348059
339	0.06483253355
340	0.06463154098
341	0.0641633315
342	0.06371879022
343	0.06366607197
344	0.06342230081
345	0.06317163073
346	0.06293943304
347	0.06273980819
348	0.06246202813
349	0.06218006809
350	0.0619167863
351	0.06160477064
352	0.06126020193
353	0.06104720828
354	0.060916339
355	0.06053380793
356	0.06031286951
357	0.05992996932
358	0.05970389041
359	0.05928513197
360	0.05900749042
361	0.05868617951
362	0.05843377317
363	0.05830718497
364	0.05825676379
365	0.05801202004
366	0.05776312653
367	0.05738762663
368	0.05703755077
369	0.05691463289
370	0.05686796733
371	0.05667352663
372	0.05652527893
373	0.0564715016
374	0.05619633874
375	0.05600233396
376	0.05571363751
377	0.05559562909
378	0.05547608784
379	0.05518732256
380	0.05504069874
381	0.054837532
382	0.05460923341
383	0.0545009491
384	0.05432665009
385	0.05426338939
386	0.05404830777
387	0.05390105565
388	0.05375811175
389	0.05358630795
390	0.05337754664
391	0.05330269169
392	0.05314600969
393	0.05304189571
394	0.05275177648
395	0.05226928375
396	0.05206981241
397	0.05176659962
398	0.05169530046
399	0.05165544843
400	0.05138135899
401	0.05118161605
402	0.05114723941
403	0.05110881524
404	0.05088280208
405	0.05071145677
406	0.0504659297
407	0.05038704036
408	0.05023358951
409	0.04998540801
410	0.04986075588
411	0.04981047945
412	0.04970632133
413	0.04961581356
414	0.04936901385
415	0.04901455299
416	0.04892014015
417	0.04872391768
418	0.04866649593
419	0.04853618552
420	0.04835789248
421	0.04832619264
422	0.04804647817
423	0.04801435536
424	0.04784487623
425	0.0477593427
426	0.04761113139
427	0.04744415925
428	0.04732719798
429	0.04703549567
430	0.04681938197
431	0.04666025469
432	0.04649154548
433	0.04631736374
434	0.04601703364
435	0.04581447047
436	0.04562190816
437	0.04552321737
438	0.04540620653
439	0.04524216682
440	0.04512315825
441	0.04492062192
442	0.04471872788
443	0.04469248876
444	0.04466643279
445	0.04463666686
446	0.04443248022
447	0.04440735878
448	0.04430854261
449	0.04412230006
450	0.04393207906
451	0.04372823395
452	0.04351061512
453	0.0432975349
454	0.04320684193
455	0.04318352642
456	0.04303465386
457	0.04293518259
458	0.04291196921
459	0.04268873949
460	0.04248782616
461	0.04240599247
462	0.0422047879
463	0.0421009863
464	0.04199746407
465	0.04188690402
466	0.04181249246
467	0.0417236126
468	0.0415887246
