iter	Passed	Remaining
0	3	3878
1	8	4311
2	11	3848
3	15	3794
4	18	3773
5	24	4014
6	27	3915
7	30	3834
8	33	3724
9	39	3926
10	43	3891
11	46	3866
12	50	3803
13	55	3896
14	59	3921
15	63	3881
16	66	3829
17	71	3916
18	76	3928
19	80	3920
20	83	3879
21	87	3901
22	101	4296
23	114	4644
24	124	4849
25	129	4868
26	133	4822
27	139	4834
28	143	4803
29	147	4778
30	152	4768
31	156	4746
32	159	4687
33	162	4621
34	253	6994
35	261	7001
36	270	7034
37	278	7042
38	285	7046
39	294	7061
40	298	6993
41	304	6947
42	308	6857
43	311	6776
44	319	6774
45	325	6744
46	330	6697
47	336	6676
48	339	6598
49	344	6544
50	351	6533
51	353	6447
52	356	6376
53	360	6309
54	365	6276
55	368	6208
56	371	6149
57	374	6088
58	379	6053
59	384	6019
60	387	5961
61	390	5901
62	394	5870
63	400	5850
64	403	5802
65	405	5744
66	409	5701
67	415	5692
68	419	5663
69	424	5635
70	429	5621
71	433	5591
72	436	5544
73	440	5512
74	446	5508
75	450	5477
76	453	5434
77	456	5392
78	461	5378
79	466	5363
80	470	5333
81	472	5295
82	478	5281
83	482	5264
84	485	5230
85	488	5192
86	493	5175
87	497	5158
88	500	5126
89	505	5106
90	509	5084
91	513	5071
92	516	5041
93	520	5014
94	525	5005
95	530	4993
96	534	4971
97	536	4941
98	541	4925
99	546	4917
100	549	4894
101	553	4870
102	558	4860
103	562	4848
104	581	4954
105	590	4979
106	601	5021
107	612	5054
108	618	5056
109	625	5062
110	631	5056
111	634	5027
112	637	5007
113	643	4999
114	647	4982
115	650	4959
116	655	4947
117	661	4942
118	664	4917
119	669	4908
120	675	4904
121	681	4905
122	686	4895
123	693	4899
124	699	4893
125	707	4905
126	714	4910
127	720	4906
128	727	4914
129	734	4914
130	741	4916
131	748	4921
132	755	4927
133	762	4925
134	767	4917
135	775	4924
136	780	4919
137	786	4913
138	792	4908
139	799	4913
140	808	4923
141	812	4908
142	815	4887
143	821	4881
144	825	4869
145	830	4855
146	832	4833
147	835	4810
148	838	4790
149	842	4775
150	845	4754
151	848	4736
152	852	4719
153	856	4707
154	859	4687
155	862	4666
156	865	4645
157	868	4626
158	871	4611
159	875	4596
160	878	4578
161	882	4563
162	885	4546
163	888	4527
164	891	4510
165	894	4494
166	898	4479
167	901	4465
168	904	4449
169	908	4436
170	912	4422
171	915	4406
172	918	4390
173	921	4376
174	926	4368
175	929	4351
176	933	4339
177	936	4323
178	939	4308
179	942	4295
180	946	4285
181	950	4273
182	953	4257
183	957	4245
184	960	4230
185	963	4217
186	966	4201
187	969	4186
188	972	4173
189	975	4158
190	978	4143
191	981	4129
192	985	4120
193	988	4108
194	992	4096
195	994	4081
196	997	4067
197	1001	4054
198	1004	4041
199	1008	4033
200	1014	4033
201	1019	4028
202	1022	4014
203	1025	4002
204	1030	3997
205	1033	3985
206	1036	3971
207	1039	3958
208	1042	3946
209	1047	3939
210	1050	3929
211	1053	3916
212	1056	3904
213	1059	3892
214	1062	3881
215	1065	3868
216	1068	3856
217	1071	3844
218	1075	3835
219	1082	3837
220	1088	3837
221	1094	3834
222	1099	3830
223	1102	3817
224	1105	3808
225	1108	3797
226	1112	3789
227	1116	3779
228	1119	3768
229	1123	3760
230	1127	3754
231	1131	3744
232	1134	3733
233	1137	3724
234	1141	3714
235	1144	3705
236	1148	3697
237	1152	3688
238	1156	3681
239	1160	3673
240	1163	3665
241	1202	3765
242	1208	3764
243	1212	3757
244	1218	3754
245	1224	3753
246	1230	3751
247	1363	4135
248	1369	4129
249	1375	4127
250	1383	4128
251	1391	4129
252	1401	4137
253	1407	4133
254	1413	4130
255	1420	4127
256	1423	4114
257	1426	4102
258	1429	4089
259	1433	4080
260	1436	4068
261	1440	4057
262	1443	4045
263	1446	4033
264	1449	4020
265	1454	4013
266	1459	4007
267	1464	3999
268	1467	3988
269	1474	3985
270	1477	3973
271	1480	3961
272	1483	3949
273	1486	3938
274	1489	3927
275	1493	3916
276	1496	3906
277	1499	3894
278	1503	3885
279	1508	3877
280	1511	3866
281	1514	3856
282	1517	3845
283	1521	3834
284	1524	3824
285	1527	3812
286	1530	3802
287	1533	3791
288	1536	3780
289	1540	3772
290	1544	3762
291	1547	3753
292	1551	3742
293	1557	3740
294	1561	3731
295	1564	3721
296	1567	3710
297	1572	3703
298	1577	3697
299	1582	3692
300	1589	3690
301	1592	3680
302	1597	3673
303	1602	3669
304	1607	3663
305	1610	3653
306	1613	3642
307	1617	3633
308	1622	3627
309	1627	3621
310	1630	3611
311	1635	3605
312	1640	3600
313	1643	3590
314	1646	3579
315	1650	3572
316	1655	3566
317	1658	3556
318	1662	3548
319	1667	3543
320	1672	3537
321	1675	3528
322	1679	3519
323	1684	3515
324	1688	3507
325	1692	3498
326	1695	3488
327	1703	3489
328	1706	3479
329	1709	3471
330	1713	3463
331	1718	3458
332	1722	3450
333	1725	3440
334	1730	3435
335	1734	3428
336	1738	3419
337	1741	3410
338	1745	3404
339	1750	3397
340	1753	3389
341	1757	3380
342	1759	3370
343	1763	3362
344	1766	3354
345	1769	3344
346	1772	3335
347	1776	3328
348	1778	3317
349	1782	3310
350	1786	3302
351	1789	3293
352	1791	3283
353	1794	3274
354	1797	3265
355	1800	3257
356	1804	3250
357	1810	3245
358	1816	3243
359	1820	3237
360	1824	3230
361	1829	3225
362	1835	3220
363	1841	3217
364	1848	3215
365	1852	3209
366	1856	3202
367	1862	3199
368	1868	3194
369	1874	3192
370	1880	3188
371	1885	3182
372	1891	3179
373	1897	3176
374	1903	3172
375	1908	3167
376	1912	3161
377	1918	3156
378	1924	3153
