iter	Logloss
0	0.6648787603
1	0.6353493404
2	0.6101825214
3	0.590705769
4	0.56760812
5	0.546989478
6	0.5283216495
7	0.5093621246
8	0.4921341665
9	0.4740078476
10	0.4597851437
11	0.4443490747
12	0.431591748
13	0.4188887036
14	0.4089006774
15	0.4001542708
16	0.3928561364
17	0.3848844927
18	0.3760799173
19	0.3665494686
20	0.3582761159
21	0.3519831518
22	0.3440311532
23	0.3392052773
24	0.3339953042
25	0.328114933
26	0.3231920207
27	0.3170047661
28	0.3126322548
29	0.3093000314
30	0.3045818453
31	0.2998121279
32	0.2954290072
33	0.292208734
34	0.2885935055
35	0.2845890803
36	0.2802579877
37	0.2772574372
38	0.2738925897
39	0.2708962669
40	0.2685229534
41	0.2650869382
42	0.2622179914
43	0.2588089469
44	0.2558386888
45	0.2527146809
46	0.2500795625
47	0.248115574
48	0.2458192364
49	0.2438057799
50	0.2416628276
51	0.2410068006
52	0.2393460658
53	0.2376010844
54	0.2351397771
55	0.2334711051
56	0.2318167194
57	0.2295399707
58	0.2265550253
59	0.2241993679
60	0.2217209535
61	0.220375667
62	0.2176261664
63	0.2162900125
64	0.2145343807
65	0.2129495166
66	0.2123550596
67	0.2109719527
68	0.2087844918
69	0.2069226078
70	0.205956517
71	0.2046785218
72	0.2033096967
73	0.2020939587
74	0.2008272481
75	0.1997833732
76	0.1987893965
77	0.1974208043
78	0.1958949205
79	0.194464296
80	0.1930521435
81	0.1918705409
82	0.1906691137
83	0.1895522639
84	0.1879994002
85	0.1855481383
86	0.1841755829
87	0.183311785
88	0.182383279
89	0.1817032402
90	0.1802546693
91	0.1792590992
92	0.1784584352
93	0.1772438266
94	0.176011637
95	0.1750046478
96	0.1734726603
97	0.1729202959
98	0.1721525397
99	0.170866616
100	0.1697916744
101	0.1693698542
102	0.1679778526
103	0.1667709009
104	0.1664319116
105	0.1657141935
106	0.1651326253
107	0.164620226
108	0.1637232216
109	0.1622919717
110	0.1615860984
111	0.1612434605
112	0.1608144017
113	0.160082952
114	0.1595872841
115	0.1590861443
116	0.1580879134
117	0.1573009201
118	0.1566181697
119	0.1554309621
120	0.1543058023
121	0.1531754778
122	0.1528431401
123	0.1518776536
124	0.1512044887
125	0.150781769
126	0.1501894986
127	0.1496650937
128	0.1485839169
129	0.1483391466
130	0.1479941769
131	0.1467034837
132	0.1462251111
133	0.1450327371
134	0.1441788843
135	0.1438972833
136	0.1434073794
137	0.1424207218
138	0.1418965976
139	0.1417187405
140	0.141194291
141	0.1407236216
142	0.1400056874
143	0.1396873141
144	0.1389683947
145	0.1382570706
146	0.1375094456
147	0.1371920773
148	0.1362937791
149	0.1353549495
150	0.1347474833
151	0.1340887307
152	0.1335661235
153	0.1331253982
154	0.132347868
155	0.1321476055
156	0.1315164848
157	0.1312138517
158	0.1306820923
159	0.1301844447
160	0.1294900081
161	0.1290032412
162	0.1278906282
163	0.1270843796
164	0.1263680608
