iter	Passed	Remaining
0	5	5667
1	11	5775
2	16	5634
3	22	5629
4	30	5973
5	38	6311
6	43	6183
7	48	5984
8	53	5836
9	57	5670
10	61	5493
11	64	5278
12	67	5096
13	70	4946
14	73	4826
15	76	4734
16	79	4600
17	82	4505
18	85	4423
19	89	4373
20	91	4287
21	94	4217
22	98	4164
23	101	4126
24	104	4089
25	108	4068
26	112	4039
27	115	4000
28	118	3959
29	122	3948
30	125	3920
31	128	3894
32	131	3856
33	134	3816
34	138	3819
35	142	3805
36	145	3784
37	148	3761
38	151	3730
39	155	3733
40	158	3707
41	161	3691
42	165	3680
43	168	3664
44	171	3643
45	174	3628
46	178	3627
47	182	3615
48	188	3665
49	194	3700
50	201	3741
51	205	3748
52	210	3757
53	213	3737
54	216	3722
55	219	3703
56	222	3681
57	225	3667
58	228	3651
59	232	3649
60	236	3640
61	239	3628
62	242	3607
63	245	3585
64	248	3577
65	251	3558
66	253	3536
67	256	3518
68	259	3504
69	263	3499
70	266	3487
71	269	3475
72	272	3464
73	275	3446
74	278	3435
75	281	3427
76	285	3422
77	288	3413
78	292	3408
79	296	3404
80	298	3390
81	301	3378
82	306	3383
83	308	3368
84	311	3358
85	314	3346
86	318	3338
87	321	3326
88	324	3318
89	328	3324
90	332	3323
91	336	3317
92	338	3305
93	342	3296
94	345	3294
95	349	3287
96	352	3277
97	355	3271
98	359	3270
99	363	3268
100	366	3260
101	369	3254
102	372	3246
103	376	3241
104	379	3232
105	382	3225
106	386	3223
107	389	3215
108	392	3206
109	396	3205
110	399	3198
111	402	3189
112	405	3186
113	409	3180
114	412	3175
115	415	3167
116	419	3166
117	422	3161
118	425	3153
119	430	3157
120	433	3150
121	436	3142
122	441	3150
123	448	3165
124	453	3172
125	459	3186
126	465	3196
127	470	3207
128	476	3214
129	482	3226
130	580	3852
131	586	3854
132	591	3854
133	594	3842
134	597	3830
135	601	3822
136	605	3813
137	608	3799
138	611	3789
139	617	3792
140	621	3783
141	625	3777
142	629	3769
143	633	3765
144	640	3775
145	644	3769
146	649	3767
147	653	3763
148	657	3754
149	663	3759
150	669	3763
151	672	3754
152	676	3746
153	680	3736
154	685	3739
155	689	3728
156	695	3734
157	698	3724
158	703	3722
159	709	3723
160	713	3717
161	717	3710
162	720	3697
163	723	3686
164	726	3677
165	729	3666
166	732	3654
167	735	3642
168	739	3635
169	744	3633
170	748	3628
171	751	3618
172	754	3607
173	757	3598
174	761	3587
175	765	3585
176	770	3581
177	774	3578
178	780	3581
179	784	3574
180	787	3564
181	790	3554
182	795	3550
183	798	3541
184	802	3533
185	805	3523
186	808	3514
187	812	3507
188	815	3498
189	818	3490
190	821	3479
191	825	3472
192	828	3466
193	831	3456
194	835	3448
195	838	3438
196	841	3430
197	845	3426
198	849	3417
199	853	3415
200	857	3408
201	860	3398
202	864	3392
203	866	3381
204	869	3371
205	872	3361
206	875	3353
207	879	3347
208	882	3340
209	886	3336
210	890	3329
211	893	3320
212	896	3313
213	900	3306
214	904	3301
215	907	3294
216	911	3289
217	914	3280
218	917	3272
219	921	3265
220	923	3256
221	926	3248
222	929	3239
223	932	3231
224	935	3223
225	938	3213
226	941	3206
227	947	3207
228	950	3201
229	956	3200
230	963	3208
231	969	3210
232	977	3217
233	983	3218
234	990	3223
235	996	3224
236	1002	3228
237	1009	3231
238	1016	3237
239	1021	3234
240	1027	3237
241	1033	3236
242	1037	3232
243	1044	3234
244	1049	3234
245	1055	3236
246	1062	3239
247	1068	3238
248	1073	3238
249	1080	3242
250	1087	3246
251	1094	3248
252	1101	3253
253	1108	3256
254	1115	3258
255	1122	3262
256	1128	3261
257	1135	3266
258	1142	3268
259	1146	3263
260	1151	3261
261	1158	3262
262	1164	3262
263	1194	3331
264	1204	3339
265	1207	3331
266	1210	3323
267	1213	3314
268	1216	3305
269	1220	3299
270	1223	3291
271	1226	3283
272	1229	3275
273	1233	3269
274	1237	3262
275	1241	3257
276	1245	3250
277	1249	3244
278	1252	3237
279	1256	3231
280	1259	3223
281	1263	3216
282	1266	3209
283	1270	3202
284	1273	3195
285	1276	3187
286	1280	3180
287	1283	3173
288	1286	3164
289	1289	3158
290	1293	3151
291	1296	3144
292	1300	3137
293	1303	3130
294	1306	3123
295	1310	3117
296	1314	3111
297	1318	3105
298	1320	3096
299	1325	3091
300	1328	3084
301	1331	3077
302	1334	3070
303	1339	3066
304	1343	3060
305	1347	3055
306	1350	3048
307	1353	3041
308	1357	3035
309	1361	3030
310	1365	3025
311	1368	3018
312	1373	3013
313	1376	3006
314	1379	2999
315	1382	2991
316	1384	2983
317	1387	2975
318	1390	2968
319	1393	2962
320	1398	2957
321	1401	2950
322	1404	2943
323	1407	2937
324	1411	2931
325	1414	2924
326	1417	2917
327	1420	2909
328	1423	2902
329	1426	2896
330	1430	2890
331	1433	2883
332	1436	2877
333	1440	2871
334	1444	2867
335	1448	2862
336	1452	2857
337	1455	2850
338	1459	2845
339	1463	2840
340	1467	2835
341	1470	2828
342	1474	2823
343	1477	2816
344	1480	2809
345	1483	2803
346	1486	2797
347	1489	2791
348	1494	2787
349	1498	2782
350	1501	2776
351	1507	2774
