iter	Logloss
0	0.6647656095
1	0.6354594291
2	0.6094351321
3	0.5904558059
4	0.567209245
5	0.5487656737
6	0.529065282
7	0.5110314499
8	0.4943710277
9	0.4802925789
10	0.4684595263
11	0.4532568661
12	0.4404983918
13	0.4268757143
14	0.4148504755
15	0.4026532961
16	0.3959399928
17	0.3862876534
18	0.3776373342
19	0.3697760613
20	0.3613774823
21	0.3541702076
22	0.348128467
23	0.3434891372
24	0.3385366997
25	0.3327492864
26	0.3258166658
27	0.3205576321
28	0.3148162829
29	0.311845688
30	0.3071788122
31	0.3027288126
32	0.2986574185
33	0.2944852733
34	0.289580199
35	0.2855631018
36	0.2827545897
37	0.2799249215
38	0.2766203017
39	0.2740719055
40	0.2716338912
41	0.2678510507
42	0.2637903933
43	0.2615432056
44	0.2575601255
45	0.2549668492
46	0.2527367114
47	0.2508606175
48	0.249352318
49	0.2464327861
50	0.2439762434
51	0.2409654634
52	0.2397850893
53	0.2365511787
54	0.2345059568
55	0.2318333936
56	0.2304766625
57	0.2288246878
58	0.2267543568
59	0.2239023514
60	0.2222434684
61	0.2209802936
62	0.2194385722
63	0.2173396656
64	0.2156222097
65	0.2139198507
66	0.2120331319
67	0.2105520747
68	0.2097257308
69	0.2085999661
70	0.2076706365
71	0.2054455092
72	0.2039738909
73	0.2024774826
74	0.2015931373
75	0.2005585944
76	0.1995248161
77	0.1977567916
78	0.1970894225
79	0.1958397096
80	0.1941322539
81	0.1928775001
82	0.1919842315
83	0.1907065162
84	0.1887725906
85	0.1872712786
86	0.1859778981
87	0.1850277576
88	0.1843155993
89	0.1836501182
90	0.1827473161
91	0.1820458089
92	0.1813553827
93	0.1802622862
94	0.1793980408
95	0.1784261309
96	0.1778348533
97	0.1768139737
98	0.1754768963
99	0.1749266036
100	0.1742348146
101	0.1732057886
102	0.1729712914
103	0.1722110832
104	0.1718297242
105	0.1710559106
106	0.1702947497
107	0.1697107868
108	0.1690976441
109	0.1686092583
110	0.1674034599
111	0.1664351726
112	0.1658517225
113	0.1650130303
114	0.1643803102
115	0.1634079629
116	0.1628620823
117	0.1615239686
118	0.1599328103
119	0.1595986252
120	0.1584677901
121	0.1582585898
122	0.1575259034
123	0.1573068423
124	0.1570645357
125	0.1561718497
126	0.1553945038
127	0.1546078904
128	0.1539351993
129	0.1535311318
130	0.1531805284
131	0.1525134502
132	0.1519811484
133	0.1513836071
134	0.1506612189
135	0.1497448006
136	0.1494339412
137	0.1493222462
138	0.1486458652
139	0.1479390036
140	0.1474384745
141	0.1463746796
142	0.145347625
143	0.1446383374
144	0.1443177377
145	0.1437052522
146	0.1429373658
147	0.1421353261
148	0.1413274865
149	0.1407526204
150	0.139839088
151	0.1391940701
152	0.1386238657
153	0.1382605446
154	0.13761046
155	0.1368676641
156	0.136421053
157	0.1358721987
158	0.1350252703
159	0.1346932956
160	0.1341859256
161	0.1335569689
162	0.133244233
163	0.1321373713
164	0.1318522687
165	0.1316319742
166	0.1312053216
167	0.1307044798
168	0.1300397344
169	0.129266101
170	0.1283701744
171	0.1276805137
172	0.1273566545
173	0.1264897178
174	0.1255814403
175	0.125465285
176	0.1250102092
177	0.1248375033
178	0.1240736902
179	0.1232158088
180	0.1224277686
181	0.1222688901
182	0.1219579415
183	0.1211204724
184	0.1207213956
185	0.1203347123
186	0.1197381569
187	0.1194501782
188	0.1189432775
189	0.1184867692
190	0.1176670912
191	0.1173771614
192	0.1172738589
193	0.1167361803
194	0.1161152421
195	0.1160036683
196	0.1156285325
197	0.1150150349
198	0.1145473319
199	0.113979075
200	0.1138641144
201	0.1137755524
202	0.113411033
203	0.1128571656
204	0.112743327
205	0.1122286015
206	0.112025063
207	0.1116083861
208	0.1113305029
209	0.1105606828
210	0.1101257407
211	0.1096814931
212	0.1091226178
213	0.1084161279
214	0.1080769209
215	0.1074595158
216	0.1073029017
217	0.1066232498
218	0.1062974413
219	0.1057114013
220	0.1054442338
221	0.1048510751
222	0.1045004076
223	0.1040893875
224	0.1038053921
225	0.1032565871
226	0.1026575723
227	0.1025388163
228	0.1021674121
229	0.101854426
230	0.1012626984
231	0.1007967059
232	0.1005359281
233	0.100253055
234	0.1001476466
235	0.09961864732
236	0.09926015847
237	0.09870861442
238	0.09800297571
239	0.0977687729
240	0.09764327378
241	0.09729472162
242	0.09676003486
243	0.09632168512
244	0.09594793415
245	0.09559274917
246	0.09504226919
247	0.09494726813
248	0.09485955321
249	0.09430376925
250	0.09418059293
251	0.09408864832
252	0.09364199869
253	0.09333792999
254	0.09305041054
255	0.09270467251
256	0.09228614813
257	0.09199351676
258	0.09190209774
259	0.09183401428
260	0.09177381418
261	0.09157222236
262	0.09114492308
263	0.09082615791
264	0.09038182869
265	0.09012984944
266	0.08967668674
267	0.08910854978
268	0.08871599334
269	0.08857774008
270	0.08813173763
271	0.08785476966
272	0.0874435833
273	0.08711829061
274	0.08674504088
275	0.0862315648
276	0.08603965471
277	0.08561885227
278	0.08552528833
279	0.08534640944
280	0.08518689878
281	0.08493803433
282	0.08465385362
283	0.08454741302
284	0.08425943033
285	0.08392418916
286	0.08346036072
287	0.08326660743
288	0.0828042543
289	0.08228749347
290	0.08214665751
291	0.08165144611
292	0.08126491411
293	0.08119360696
294	0.08068349092
295	0.08023063525
296	0.07984935089
297	0.07979143024
298	0.07932055457
299	0.0791719316
300	0.07875541985
301	0.07859897798
302	0.07810197388
303	0.07782716417
304	0.07778771327
305	0.07768931304
306	0.0773086749
307	0.07695517598
308	0.0765798067
309	0.07629984789
310	0.07617663841
311	0.07596394225
312	0.07562773101
313	0.07542208458
314	0.07520507442
315	0.07476478198
316	0.07435114808
317	0.07413775881
318	0.07391115404
319	0.07370482917
320	0.07329500027
321	0.07288976966
322	0.07267856791
323	0.0726145827
324	0.07226270252
325	0.07216920744
326	0.07213129351
327	0.07166438437
328	0.07163700835
329	0.07134097487
330	0.07127046164
331	0.07092045914
332	0.07081615666
333	0.0704012625
334	0.07019661462
335	0.07015258868
336	0.06989685966
337	0.06985935365
338	0.06962075121
339	0.06934908969
340	0.06910674466
341	0.06880428535
342	0.06858760467
343	0.06836098175
344	0.06807529281
345	0.06775013163
346	0.0674792589
347	0.06732393648
348	0.06727073435
349	0.06692469216
350	0.06677587909
351	0.06647638177
352	0.06633054072
353	0.06599598393
354	0.06589095168
355	0.06566522817
356	0.0654111645
357	0.06530939219
358	0.06491286141
359	0.06484799611
360	0.0644565437
361	0.06408191578
362	0.06364589566
363	0.06357736465
364	0.06321162965
365	0.06305840057
366	0.06271249963
367	0.06257439466
368	0.06240046797
369	0.06212272948
370	0.0617432802
371	0.06141610681
372	0.06119781578
373	0.06083363659
374	0.06051084988
375	0.06037289306
376	0.06028146389
377	0.06005651721
378	0.05974383432
379	0.05962262472
380	0.05947926888
381	0.05917690493
382	0.05903885496
383	0.05872882887
384	0.05860509012
385	0.05835683815
386	0.05786725709
387	0.057776314
388	0.05754725643
389	0.05739580542
390	0.05715455027
391	0.05682718697
392	0.05658110748
393	0.05648312844
394	0.05612715871
395	0.05607983092
396	0.05586501547
397	0.05576627483
398	0.05563274109
399	0.05530428747
400	0.05507218473
401	0.05499905273
402	0.05469790345
403	0.05445884834
404	0.05425007777
405	0.054038096
406	0.05372960388
407	0.0535698165
408	0.05337731354
409	0.05316756463
410	0.05305318286
411	0.05274005331
412	0.05266538135
413	0.05254936992
414	0.05226302386
415	0.0521510188
416	0.05184004205
417	0.05156191134
418	0.05136898992
419	0.05107799608
420	0.05098825275
421	0.05078691327
422	0.05075622046
423	0.05048363802
424	0.05023600748
425	0.04996915857
426	0.04975968483
427	0.04972324764
428	0.04949082507
429	0.04940552499
430	0.04917170788
431	0.04889862292
432	0.04880047864
433	0.04870570199
434	0.04849146468
435	0.04841374998
436	0.04815591617
437	0.04807710319
438	0.04805348112
439	0.04797130316
440	0.04777688284
441	0.04760030478
442	0.04735611586
443	0.04707422788
444	0.04691747631
445	0.04666043909
446	0.04653129993
447	0.04645855269
448	0.04641583367
449	0.04617366335
450	0.0460134907
451	0.04580309294
452	0.04556174467
453	0.04550080507
454	0.04532264767
455	0.04525290531
456	0.04519328401
457	0.04506747716
458	0.04484970781
459	0.04465879658
460	0.0446363568
461	0.04455230158
462	0.04441052396
463	0.04427156453
464	0.0440992625
465	0.04389191213
466	0.04371641997
467	0.04361514255
468	0.04345620291
469	0.04339204447
470	0.04336097763
471	0.04329943459
472	0.04309283149
473	0.04296330136
474	0.04279811356
475	0.04260307501
476	0.04237224207
477	0.04229209244
478	0.04212492177
479	0.04207311604
480	0.04193597603
481	0.04174099976
482	0.04163234021
483	0.04155299019
484	0.04139483129
485	0.0411996309
486	0.04114564818
487	0.04099697302
488	0.04094379122
489	0.04077581337
490	0.04072531919
491	0.04061243266
492	0.04051667663
493	0.04028189607
494	0.04007142744
495	0.03981639598
496	0.03970456523
497	0.03957822058
498	0.03943923151
499	0.03924611725
500	0.0391605455
501	0.03908095891
502	0.03881631995
503	0.03878039502
504	0.03865337583
505	0.03854447766
506	0.03840576529
507	0.03826802334
508	0.03820087464
509	0.0380254472
510	0.03789532513
511	0.03780614168
512	0.03779076339
513	0.03773399509
514	0.0376693945
515	0.03747495711
516	0.03743085638
517	0.03732845805
518	0.03728726181
519	0.03706812609
520	0.03690787389
521	0.03685471485
522	0.03679290924
523	0.03666262758
524	0.03649690154
525	0.03637305895
526	0.03620298058
527	0.03607931145
528	0.03601914105
529	0.03596420578
530	0.03582406761
531	0.03576253201
532	0.03570652783
533	0.03563475668
534	0.03550963
535	0.03547537419
536	0.03535773832
537	0.03533682544
538	0.03514526794
539	0.03502354422
540	0.03496287079
541	0.03489446997
542	0.03477649777
543	0.03473944886
544	0.03464837775
545	0.0345584369
546	0.03450588184
547	0.03429242972
548	0.0342574769
549	0.03414309382
550	0.03410180756
551	0.03403732385
552	0.0338863567
553	0.03384573611
554	0.03372202941
555	0.03362426758
556	0.03353917438
557	0.03347834727
558	0.03343704377
559	0.03326955885
560	0.03323293768
561	0.03313807007
562	0.03299291275
563	0.03285721879
564	0.03265276955
565	0.03261680499
566	0.03260132842
567	0.03257885244
568	0.03247252647
569	0.03243871128
570	0.03239030835
571	0.03234264568
572	0.03224155057
573	0.03219695571
574	0.03218188771
575	0.03203483083
576	0.03201022334
577	0.03195811816
578	0.03191200286
579	0.03171997548
580	0.03161635103
581	0.03157139599
582	0.03151547816
583	0.03149624273
584	0.03146608577
585	0.03143453458
586	0.0313974195
587	0.03135249106
588	0.03134206925
589	0.03129834347
590	0.03124540825
591	0.03113363042
592	0.03101330564
593	0.03095637542
594	0.03092656788
595	0.03086486615
596	0.03078096143
597	0.03072696899
598	0.03068713722
599	0.03065733614
600	0.03054550872
