iter	Passed	Remaining
0	5	5177
1	8	4341
2	12	4109
3	15	3953
4	20	4148
5	25	4166
6	29	4208
7	33	4212
8	38	4217
9	41	4137
10	46	4171
11	50	4143
12	54	4112
13	57	4019
14	60	3961
15	64	3937
16	67	3897
17	71	3882
18	75	3873
19	79	3891
20	84	3921
21	88	3946
22	91	3903
23	95	3884
24	99	3877
25	103	3872
26	107	3862
27	110	3828
28	113	3798
29	118	3817
30	121	3796
31	124	3778
32	127	3750
33	132	3775
34	136	3767
35	140	3753
36	143	3738
37	146	3715
38	150	3703
39	153	3681
40	156	3650
41	159	3637
42	163	3647
43	167	3649
44	171	3635
45	175	3636
46	179	3631
47	183	3632
48	186	3624
49	192	3654
50	198	3695
51	204	3733
52	210	3758
53	217	3816
54	222	3831
55	226	3817
56	230	3820
57	235	3832
58	239	3820
59	245	3847
60	250	3853
61	253	3840
62	257	3827
63	261	3819
64	265	3816
65	268	3797
66	271	3776
67	274	3765
68	279	3769
69	283	3761
70	286	3747
71	290	3740
72	294	3742
73	298	3735
74	301	3720
75	306	3722
76	310	3724
77	315	3724
78	318	3712
79	321	3701
80	325	3697
81	329	3684
82	332	3675
83	336	3669
84	339	3659
85	344	3656
86	347	3646
87	349	3625
88	353	3619
89	356	3607
90	359	3594
91	363	3583
92	367	3584
93	370	3570
94	373	3557
95	376	3547
96	379	3536
97	405	3728
98	443	4035
99	450	4050
100	456	4061
101	461	4061
102	467	4068
103	472	4072
104	476	4062
105	479	4043
106	482	4025
107	485	4012
108	489	3997
109	492	3983
110	495	3968
111	498	3954
112	502	3941
113	505	3925
114	508	3909
115	512	3905
116	516	3898
117	519	3886
118	523	3877
119	526	3861
120	529	3846
121	532	3833
122	536	3823
123	539	3808
124	542	3796
125	545	3783
126	548	3770
127	551	3756
128	554	3745
129	558	3735
130	561	3728
131	564	3714
132	567	3699
133	570	3689
134	574	3678
135	577	3667
136	580	3655
137	583	3642
138	584	3620
139	587	3609
140	590	3598
141	594	3589
142	595	3568
143	598	3556
144	601	3548
145	604	3536
146	608	3532
147	611	3520
148	614	3510
149	617	3500
150	618	3480
151	621	3468
152	624	3458
153	627	3447
154	630	3434
155	632	3423
156	635	3411
157	638	3400
158	640	3389
159	643	3377
160	646	3369
161	649	3359
162	653	3353
163	656	3346
164	659	3339
165	663	3332
166	666	3324
167	669	3314
168	672	3304
169	675	3296
170	678	3290
171	681	3282
172	684	3271
173	687	3264
174	690	3256
175	694	3250
176	697	3244
177	701	3237
178	704	3229
179	707	3223
180	710	3213
181	713	3205
182	716	3197
183	719	3189
184	722	3183
185	725	3173
186	728	3166
187	731	3159
188	734	3149
189	737	3142
190	740	3138
191	743	3130
192	747	3125
193	750	3116
194	753	3109
195	756	3102
196	759	3095
197	762	3090
198	765	3082
199	768	3074
200	772	3070
201	775	3065
202	778	3057
203	782	3053
204	786	3048
205	789	3042
206	792	3034
207	796	3034
208	800	3030
209	804	3025
210	808	3021
211	811	3018
212	814	3010
213	818	3006
214	821	2999
215	824	2991
216	827	2985
217	830	2979
218	833	2972
219	837	2967
220	840	2962
221	843	2956
222	846	2951
223	850	2947
224	854	2944
225	859	2942
226	863	2942
227	869	2943
228	876	2950
229	882	2956
230	887	2953
231	891	2951
232	895	2948
233	901	2950
234	907	2954
235	913	2957
236	919	2959
237	925	2962
238	930	2964
239	936	2964
240	942	2969
241	948	2971
242	954	2972
243	960	2976
244	967	2980
245	976	2994
246	984	3001
247	992	3009
248	997	3010
249	1001	3004
250	1006	3003
251	1011	3002
252	1014	2996
253	1018	2991
254	1022	2987
255	1027	2985
256	1031	2982
257	1035	2978
258	1039	2975
259	1044	2973
260	1048	2967
261	1053	2966
262	1057	2962
263	1061	2960
264	1065	2954
265	1069	2950
266	1074	2950
267	1078	2945
268	1081	2939
269	1085	2936
270	1091	2935
271	1095	2931
272	1098	2926
273	1103	2923
274	1107	2920
275	1111	2915
276	1114	2909
277	1118	2905
278	1123	2904
279	1127	2899
280	1130	2892
281	1134	2888
282	1139	2887
283	1143	2882
284	1146	2875
285	1149	2869
286	1152	2862
287	1155	2855
288	1158	2849
289	1161	2844
290	1198	2919
291	1204	2921
292	1208	2915
293	1211	2908
294	1214	2902
295	1217	2896
296	1222	2892
297	1226	2888
298	1229	2883
299	1233	2877
300	1236	2871
301	1239	2865
302	1242	2859
303	1247	2855
304	1251	2852
305	1255	2847
306	1258	2841
307	1261	2835
308	1264	2828
309	1267	2821
310	1271	2816
311	1274	2809
312	1277	2803
313	1281	2800
314	1287	2799
315	1291	2796
316	1295	2790
317	1302	2792
318	1305	2787
319	1309	2781
320	1313	2777
321	1317	2774
322	1321	2770
323	1326	2768
324	1331	2764
325	1335	2761
326	1339	2756
327	1341	2748
328	1346	2746
329	1351	2743
330	1355	2739
331	1359	2734
332	1363	2731
333	1367	2727
334	1372	2724
335	1376	2719
336	1380	2715
337	1384	2712
338	1388	2707
339	1391	2701
340	1396	2698
341	1400	2694
342	1403	2688
343	1406	2683
344	1410	2678
345	1414	2674
346	1418	2670
347	1464	2743
348	1493	2785
349	1499	2785
350	1505	2783
351	1510	2781
352	1517	2781
353	1524	2782
354	1530	2781
355	1537	2780
356	1543	2780
357	1551	2781
358	1556	2779
359	1562	2778
360	1568	2776
361	1573	2772
362	1581	2774
363	1587	2773
364	1592	2771
365	1597	2768
366	1602	2763
367	1605	2756
368	1609	2752
369	1615	2750
370	1618	2743
371	1622	2738
372	1626	2734
373	1631	2731
374	1634	2724
375	1638	2719
376	1642	2714
377	1647	2711
378	1651	2705
379	1655	2700
380	1661	2699
381	1665	2693
382	1668	2687
383	1672	2682
384	1676	2678
385	1680	2673
386	1683	2667
387	1687	2661
388	1690	2655
389	1694	2650
390	1698	2645
391	1701	2639
392	1705	2633
393	1710	2631
394	1713	2625
395	1717	2619
396	1721	2615
397	1724	2609
398	1728	2603
399	1731	2597
400	1736	2593
401	1739	2587
402	1743	2583
403	1746	2576
404	1750	2571
405	1753	2565
406	1756	2559
407	1760	2554
408	1763	2547
409	1766	2542
410	1771	2538
411	1775	2534
412	1778	2528
413	1782	2522
414	1786	2518
415	1791	2515
416	1795	2509
417	1798	2504
418	1803	2500
419	1807	2495
420	1811	2491
421	1815	2486
422	1819	2481
423	1825	2479
424	1828	2473
425	1831	2467
426	1834	2462
427	1839	2458
428	1844	2454
429	1847	2448
430	1852	2444
431	1857	2442
432	1861	2436
433	1863	2430
434	1867	2425
435	1871	2421
436	1875	2416
437	1879	2410
438	1883	2406
439	1889	2404
440	1892	2399
441	1896	2393
442	1899	2388
443	1903	2383
444	1907	2378
445	1910	2373
446	1914	2368
447	1919	2364
448	1922	2359
449	1925	2353
450	1928	2347
451	1932	2343
452	1938	2341
453	1944	2338
454	1952	2339
455	1958	2336
456	1962	2332
457	1968	2329
458	1973	2325
459	1976	2320
460	1982	2318
461	1990	2317
462	1996	2315
463	2003	2314
464	2010	2312
465	2017	2311
466	2024	2310
467	2030	2308
468	2037	2306
469	2041	2302
470	2047	2299
471	2054	2298
472	2061	2296
473	2067	2294
474	2072	2290
475	2079	2288
476	2086	2287
477	2091	2283
478	2096	2279
479	2103	2278
480	2106	2272
481	2110	2267
482	2113	2262
483	2118	2258
484	2121	2252
485	2124	2247
486	2128	2241
487	2131	2236
488	2135	2231
489	2138	2225
490	2142	2221
491	2145	2215
492	2148	2209
493	2152	2204
494	2155	2199
495	2159	2194
496	2163	2190
497	2167	2184
498	2170	2179
499	2174	2174
500	2177	2169
501	2182	2164
502	2186	2159
503	2189	2154
504	2193	2149
505	2197	2145
506	2200	2139
507	2203	2134
508	2206	2128
509	2210	2123
510	2214	2118
511	2217	2113
512	2220	2107
513	2223	2102
514	2226	2096
515	2230	2091
516	2233	2086
517	2236	2081
518	2239	2075
519	2243	2070
520	2246	2065
521	2249	2059
522	2252	2054
523	2255	2048
524	2258	2043
525	2261	2038
526	2265	2033
527	2268	2028
528	2271	2022
529	2274	2016
530	2277	2011
531	2280	2006
532	2283	2000
533	2286	1995
534	2289	1989
535	2292	1984
536	2294	1978
537	2297	1973
538	2300	1967
539	2303	1961
540	2306	1956
541	2309	1951
542	2312	1946
543	2316	1941
544	2319	1936
545	2322	1930
546	2324	1925
547	2327	1919
548	2329	1914
549	2332	1908
550	2337	1904
551	2340	1899
552	2343	1894
553	2346	1889
554	2349	1884
555	2354	1880
556	2358	1875
557	2361	1870
558	2364	1865
559	2367	1860
560	2371	1855
561	2374	1850
562	2377	1845
563	2380	1840
564	2383	1835
565	2387	1830
566	2392	1827
567	2398	1824
568	2403	1820
569	2407	1816
570	2411	1811
571	2413	1806
572	2417	1801
573	2421	1797
574	2426	1793
575	2430	1788
576	2434	1784
577	2438	1780
578	2441	1775
579	2445	1770
580	2450	1767
581	2454	1763
582	2459	1758
583	2462	1753
584	2498	1772
585	2573	1818
586	2578	1814
587	2584	1810
588	2589	1806
589	2599	1806
590	2608	1804
591	2614	1802
592	2618	1797
593	2621	1791
594	2624	1786
595	2628	1781
596	2631	1776
597	2635	1772
598	2639	1767
599	2643	1762
600	2646	1757
601	2649	1751
602	2653	1746
603	2657	1742
604	2660	1736
605	2664	1732
606	2667	1727
607	2672	1723
608	2675	1717
609	2679	1713
610	2682	1708
611	2685	1702
612	2690	1698
613	2693	1693
614	2696	1687
615	2699	1682
616	2701	1677
617	2704	1671
618	2710	1668
619	2715	1664
620	2719	1659
621	2722	1654
622	2725	1649
623	2728	1644
624	2732	1639
625	2735	1634
626	2738	1629
627	2741	1624
628	2744	1618
629	2747	1613
630	2751	1609
631	2754	1604
632	2757	1598
633	2760	1593
634	2764	1588
