iter	Logloss
0	0.6635470498
1	0.6371309129
2	0.614044367
3	0.5944569814
4	0.5759037319
5	0.5580450689
6	0.5381617515
7	0.5198033095
8	0.505116746
9	0.4901145802
10	0.4765088569
11	0.4620871036
12	0.4502787741
13	0.4368115008
14	0.4266410952
15	0.415674683
16	0.404677451
17	0.3971271161
18	0.3881311855
19	0.3790137437
20	0.3717040413
21	0.3616494352
22	0.3553798076
23	0.3497910918
24	0.3427791328
25	0.3386844922
26	0.3330390795
27	0.3261803615
28	0.321440537
29	0.3174400448
30	0.3127816757
31	0.3069614052
32	0.3019716655
33	0.2989272819
34	0.2947224932
35	0.2914776447
36	0.2877653597
37	0.2847179121
38	0.2812452025
39	0.2780337642
40	0.2755705015
41	0.2723051949
42	0.2699104694
43	0.2667284394
44	0.2641700513
45	0.261671391
46	0.259863352
47	0.2582450699
48	0.2555418438
49	0.252673038
50	0.2496956379
51	0.2472834086
52	0.2454395371
53	0.2436642829
54	0.2424414503
55	0.239652967
56	0.2366114777
57	0.2348810195
58	0.2337358741
59	0.2322194566
60	0.2309047429
61	0.2291571716
62	0.2270679129
63	0.2251528713
64	0.2237209864
65	0.2217037569
66	0.2204500009
67	0.2192043885
68	0.2177212348
69	0.2150540575
70	0.2140497117
71	0.2125313879
72	0.2113795968
73	0.2098772553
74	0.2086221384
75	0.2068251892
76	0.204936882
77	0.2040966426
78	0.2024345021
79	0.2013009306
80	0.1999477921
81	0.1987217278
82	0.1978246184
83	0.1966998708
84	0.1958814989
85	0.1945996116
86	0.1937872661
87	0.1935104945
88	0.1925878653
89	0.1920587472
90	0.1910957151
91	0.1900225916
92	0.1888380065
93	0.1881090554
94	0.1877557306
95	0.1870157655
96	0.1862488189
97	0.1856300693
98	0.1854246684
99	0.1845624138
100	0.1837306386
101	0.1827808446
102	0.1818337591
103	0.1817030803
104	0.1808548692
105	0.1797565532
106	0.179349512
107	0.1787513908
108	0.178200049
109	0.1774313269
110	0.1767106399
111	0.1758706826
112	0.1751465926
113	0.1747581566
114	0.1741473336
115	0.1735467386
116	0.1721339205
117	0.1714637023
118	0.1704099623
119	0.1695436848
120	0.1688124863
121	0.1677875181
122	0.167415243
123	0.1666378206
124	0.1663210019
125	0.1651264095
126	0.1642973539
127	0.163358874
128	0.1627772754
129	0.1619498695
130	0.161518736
131	0.1611340682
132	0.1600514603
133	0.1593527058
134	0.15843119
135	0.1577261524
136	0.1566709784
137	0.1560893232
138	0.1560477221
139	0.1555089583
140	0.1548835051
141	0.1544659582
142	0.1542246452
143	0.1536219182
144	0.1525714309
145	0.1519521381
146	0.1514684272
147	0.1507464895
148	0.1501701225
149	0.1495513771
150	0.1495190062
151	0.1490206334
152	0.1484452444
153	0.1474131451
154	0.1469672713
155	0.1465731401
156	0.1460560583
157	0.1455379707
158	0.1446844016
159	0.1443199654
160	0.1438271481
161	0.1435063365
162	0.1428613516
163	0.142435773
164	0.1422677551
165	0.1418778034
166	0.1410256221
167	0.1401946478
168	0.1394113506
169	0.1389317106
170	0.1381404337
171	0.1374156063
172	0.1369254764
173	0.136527935
174	0.1361005429
175	0.135673884
176	0.1351893082
177	0.1344900381
178	0.1339556577
179	0.1336231569
180	0.1331514149
181	0.132712078
182	0.1323510098
183	0.1322233371
184	0.1320084717
185	0.1316642269
186	0.1315097595
187	0.1311715259
188	0.1307098973
189	0.1302553941
190	0.1300836001
191	0.1297250139
192	0.1289154761
193	0.1284770528
194	0.1282263328
195	0.1275768647
196	0.1271917652
197	0.1263784137
198	0.1259549253
199	0.1251979204
200	0.1247565042
201	0.1245519121
202	0.1242453034
203	0.1237971515
204	0.1231311387
205	0.1225858535
206	0.1221558749
207	0.1215567212
208	0.121256209
209	0.1207016621
210	0.1205321832
211	0.1200253829
212	0.1193584444
213	0.1189997687
214	0.1187727302
215	0.1184706434
216	0.1183178727
217	0.1180472992
218	0.1174236573
219	0.1172855345
220	0.1168709407
221	0.1165025889
222	0.1160408239
223	0.1156281187
224	0.1151626459
225	0.1148044399
226	0.113618537
227	0.1131160686
228	0.1127510305
229	0.1124277593
230	0.1123137964
231	0.1115595444
232	0.110890863
233	0.1107344074
234	0.1102962185
235	0.1098325513
236	0.1090666329
237	0.108769546
238	0.1085449481
239	0.107945007
240	0.1074050905
241	0.1072867838
242	0.1070010095
243	0.1066252619
244	0.106105802
245	0.105530628
246	0.104685452
247	0.1040052993
248	0.1033150563
249	0.1032492003
250	0.10284022
251	0.1022324088
252	0.1018165631
253	0.1013714724
254	0.1009384038
255	0.10017356
256	0.09961378151
257	0.0995262564
258	0.09939489973
259	0.09890565153
260	0.0987401915
261	0.09817952963
262	0.09811143759
263	0.09766589421
264	0.09728596576
265	0.09674864901
266	0.09668824229
267	0.09646377551
268	0.09639306953
269	0.09590183948
270	0.09537401431
271	0.09519263759
272	0.09451308216
273	0.09437181322
274	0.09409541632
275	0.09402767715
276	0.09376232339
277	0.09346218511
278	0.092945752
279	0.09265785556
280	0.09180988267
281	0.09121330703
282	0.09050937258
283	0.09044895751
284	0.09002938358
285	0.08940892948
286	0.08935865142
287	0.08894617193
288	0.08837138007
289	0.08819874954
290	0.08780118579
291	0.08741367946
292	0.08737643008
293	0.08698297035
294	0.08656766458
295	0.08623272701
296	0.08567833723
297	0.08515430843
298	0.08480698179
299	0.08449052458
300	0.08403127571
301	0.08397198375
302	0.08387904649
303	0.08366420155
304	0.0834169539
305	0.08317082513
306	0.08260130664
307	0.08216338044
308	0.08175367767
309	0.08138089695
310	0.0813213264
311	0.08101335683
312	0.08096160821
313	0.08087143058
314	0.08082879622
315	0.08053621739
316	0.07993047695
317	0.07955412964
318	0.07951897105
319	0.07922875415
320	0.07891238889
321	0.07873524715
322	0.07808600173
323	0.07768766372
324	0.07718191826
325	0.07678535167
326	0.07675617006
327	0.07647584206
328	0.0763235456
329	0.0760701071
330	0.0756402568
331	0.07559185994
332	0.07556674305
333	0.07516886099
334	0.07446633525
335	0.07408564966
336	0.07404259276
337	0.07399309895
338	0.07363728779
339	0.07358734967
340	0.07335637617
341	0.07330922863
342	0.07299167085
343	0.07246088871
344	0.07242381954
345	0.07235225831
346	0.071984759
347	0.07191446952
348	0.07176377376
349	0.07173392222
350	0.07129059979
351	0.07100804075
352	0.07067599185
353	0.07021040212
354	0.06979164154
355	0.06971752727
356	0.06968321136
357	0.06945688286
358	0.06927092919
359	0.06893684894
360	0.06859972095
361	0.06822580764
362	0.06784629921
363	0.06760402256
364	0.06733179414
365	0.06729131641
366	0.06726014934
367	0.06722670577
368	0.06688537037
369	0.06677031343
370	0.06633657088
371	0.06587197303
372	0.0654462674
373	0.06520800806
374	0.06499084816
375	0.0647922872
376	0.06458472971
377	0.06419639735
378	0.06384004669
379	0.06338036097
380	0.06324712855
381	0.06286521218
382	0.06271128532
383	0.06239324332
384	0.0622415821
385	0.06205004536
386	0.06196321505
387	0.06166303426
388	0.06143033762
389	0.06132559812
390	0.06097059322
391	0.06082669279
392	0.06042394618
393	0.06016074417
394	0.06013395433
395	0.06010784774
396	0.05993614405
397	0.05969279929
398	0.05958614421
399	0.0595038802
400	0.05921286677
401	0.05889260661
402	0.0586588523
403	0.05863356288
404	0.05856116812
405	0.05826898005
406	0.05802021238
407	0.05761076132
408	0.05730428512
409	0.05709441588
410	0.0567872416
411	0.05676311434
412	0.05653114861
413	0.0563453038
414	0.05632192651
415	0.05626918886
416	0.05606710308
417	0.05600363476
418	0.05585156821
419	0.05571179114
420	0.05556835991
421	0.05554609551
422	0.05550703551
423	0.0551998592
424	0.05502270901
425	0.05463427767
426	0.05429150502
427	0.05400501013
428	0.0538956549
429	0.053621812
430	0.05335149591
431	0.0532065244
432	0.05316892233
433	0.05313404922
434	0.05302970275
435	0.05268253848
436	0.05242464183
437	0.05231465022
438	0.05201687484
439	0.05173753431
440	0.05128732067
441	0.0509247289
442	0.05073789205
443	0.05071154712
444	0.05068508989
445	0.05055371984
446	0.05040013821
447	0.05017684325
448	0.05009765751
449	0.05007188284
450	0.04984797125
451	0.04965484567
452	0.04962988144
453	0.04958737618
454	0.04946225741
455	0.04927322576
456	0.04905615807
457	0.04903094477
458	0.04900635713
459	0.04887247886
460	0.04863352347
461	0.04846407656
462	0.04834552088
463	0.04818118725
464	0.04796071525
465	0.047763127
466	0.04774149655
467	0.04771453132
468	0.04759122986
469	0.04736842254
470	0.04710817678
471	0.04688234149
472	0.04663152991
473	0.04660345317
474	0.04645589227
475	0.0464235216
476	0.04613863154
477	0.04595115165
478	0.04574015713
479	0.04564451738
480	0.04562803221
481	0.04532436226
482	0.04515017438
483	0.04513767891
484	0.0450422861
485	0.04493988898
486	0.04472890332
487	0.04453231251
488	0.04437482617
489	0.04431341395
490	0.04405512099
491	0.04403875549
492	0.04387218868
493	0.04369009173
494	0.04349289117
495	0.04328582934
496	0.04326504859
497	0.04315690617
498	0.04313821014
499	0.04311991627
500	0.043104787
501	0.04289248269
502	0.04275431149
503	0.04256994629
504	0.04244392152
505	0.04234384695
506	0.0422137899
507	0.04208309176
508	0.04206560452
509	0.04187687573
510	0.04180632329
511	0.04179203377
512	0.04160873898
513	0.0413996059
514	0.04121065822
515	0.04105528271
516	0.04079222495
517	0.0407756359
518	0.04055694916
519	0.04054692888
520	0.04042261699
521	0.04040959557
522	0.0403283521
523	0.04031211487
524	0.04029915098
525	0.04012796234
526	0.04001606263
527	0.04000344056
528	0.03992360257
529	0.0397438925
530	0.03954999523
531	0.03937751849
532	0.03925818871
533	0.03909171544
534	0.03907671982
535	0.03889561987
536	0.03882249208
537	0.03866294093
538	0.0385942454
539	0.03842599513
540	0.03840903707
541	0.03823059534
542	0.03817023123
543	0.03798192146
544	0.03785032189
545	0.03770131131
546	0.03768992307
547	0.037511617
548	0.03734827006
549	0.03723952533
550	0.03722512638
551	0.03703839463
552	0.03682881299
553	0.03665356827
554	0.03664206648
555	0.03648876642
556	0.03642067116
557	0.03631034715
558	0.03616218751
559	0.03603820765
560	0.0359897652
561	0.03593150719
562	0.03574000779
563	0.0357243576
564	0.03565688715
565	0.03557558998
566	0.03555623228
567	0.03553920567
568	0.0354848772
569	0.03535216033
570	0.03523770183
571	0.03516217538
572	0.03513881814
573	0.03501456511
574	0.03500630577
575	0.03499254487
576	0.03489888584
577	0.03470308556
578	0.03456876179
579	0.03446908168
580	0.03432039558
581	0.03422687677
582	0.03421380024
583	0.03417343145
584	0.03404046069
585	0.03400160677
586	0.03389913561
587	0.03374931245
588	0.03373722979
589	0.03360519777
590	0.03343275507
591	0.03336744418
592	0.0332395608
593	0.03318961113
594	0.03306217019
595	0.0328800591
596	0.03278990131
597	0.03267591055
598	0.0325695095
599	0.03245431026
600	0.03233860639
601	0.03223398976
602	0.03214571743
603	0.0321251647
604	0.03203771968
605	0.03198473969
606	0.03197650687
607	0.03191122536
608	0.03190315707
609	0.03175137236
610	0.03173301927
611	0.03172118917
612	0.03165463936
613	0.03152945443
614	0.03152163198
615	0.03143691606
616	0.03133000568
617	0.03131848743
618	0.03125986514
619	0.03124658443
620	0.03120395456
621	0.03109492016
622	0.03108267175
623	0.03100842429
624	0.03094901971
625	0.03080740232
626	0.03071060245
627	0.03054813892
628	0.0305389963
629	0.03050111056
630	0.03043900845
631	0.03043123773
632	0.03042334193
633	0.0302795242
634	0.03024418154
635	0.0302335194
636	0.03015595536
637	0.0300983771
638	0.02998171108
639	0.02997435172
640	0.02980882318
641	0.02973218686
642	0.02972188443
643	0.02960076137
644	0.02949586454
645	0.02945289027
646	0.02941145879
647	0.02927791998
648	0.02927000525
649	0.02914231056
650	0.02913403121
651	0.02912390482
652	0.02911709649
653	0.02902581035
654	0.02888569668
655	0.02879149729
656	0.02875098314
657	0.02874146877
658	0.02863582949
659	0.0285570491
660	0.02843440777
661	0.02842781997
662	0.02837039975
663	0.02828569504
664	0.02827687843
665	0.02817353169
666	0.0280834396
667	0.02798390727
668	0.02797745187
669	0.02789379406
670	0.02783534167
671	0.02782898468
672	0.02781969381
673	0.02777007551
674	0.02767116934
675	0.02761975199
676	0.0275700763
677	0.027514225
678	0.02750384133
679	0.02739482448
680	0.02731617445
681	0.02730042847
682	0.02728272335
683	0.0272485928
684	0.02715439797
685	0.02706860895
686	0.02698873642
687	0.02698270388
688	0.02687092036
689	0.02682494575
690	0.02681880419
691	0.02672085325
692	0.02664779786
693	0.0266033347
694	0.02654259803
695	0.02644526453
696	0.02640271743
697	0.02635839164
698	0.0263527471
699	0.02624481543
700	0.02621465355
701	0.02616583648
702	0.02605969668
703	0.02595300536
704	0.02586909199
705	0.02582068615
706	0.02579151506
707	0.02572719016
708	0.02570123848
709	0.02568541457
710	0.02556770442
711	0.02555406791
712	0.02554856587
713	0.02554194009
714	0.02545016945
715	0.02535431459
716	0.02531676333
717	0.02530840846
718	0.02530325428
719	0.02523800841
720	0.02523170931
721	0.02517436073
722	0.0251691474
723	0.02509978134
724	0.02500143505
725	0.02499523716
726	0.02492608854
727	0.02485007799
728	0.02479829152
729	0.02471743536
730	0.02464742824
731	0.02457790588
732	0.02450186255
733	0.02449685928
734	0.02442576526
735	0.02438319108
736	0.02437375475
737	0.02431881995
738	0.02427248114
739	0.02426768651
740	0.02417267365
741	0.02412642696
742	0.02406929337
743	0.02399590947
744	0.02399111355
745	0.02392468339
746	0.02385601286
747	0.02375998971
748	0.02370251587
749	0.02362888246
750	0.02356396094
751	0.02355912068
752	0.0235289052
753	0.02349365851
754	0.0234635789
755	0.02345796932
756	0.02339504905
757	0.0233009521
758	0.02321207785
759	0.02320755222
760	0.02317814052
761	0.02315681986
762	0.0231199835
763	0.02304188713
764	0.0230375745
765	0.02302594553
766	0.02299523907
767	0.02298988397
768	0.02291701463
769	0.02287009539
770	0.02279985705
771	0.0227753961
772	0.02274785693
773	0.02274234356
774	0.02268812886
775	0.02266556923
776	0.02263317521
777	0.02258452987
778	0.02257932143
779	0.02257418592
780	0.02250589956
781	0.0224714484
782	0.02241674781
783	0.02236370186
784	0.02236369296
785	0.02227197432
786	0.0222049792
787	0.02218381709
788	0.0221265829
789	0.02209787142
790	0.02209394855
791	0.02203905962
792	0.02200763564
793	0.02194441113
794	0.02194180909
795	0.02193810695
796	0.02190557812
797	0.02190168239
798	0.02185841503
799	0.02181689812
800	0.02181325849
801	0.02180867556
802	0.02176392367
803	0.02174251915
804	0.02171906936
805	0.02165365712
806	0.02162837052
807	0.02154637459
808	0.02149127829
809	0.02139824493
810	0.02137211591
811	0.02132299339
812	0.02122104032
813	0.02119531083
814	0.02118801947
815	0.02116840412
816	0.02113550592
817	0.02110970682
818	0.02105638513
819	0.02099527315
820	0.02095449269
821	0.02093099874
822	0.02089362118
823	0.02081139096
824	0.02080841283
825	0.02077681659
826	0.0207451534
827	0.02074136046
828	0.02068494847
829	0.02060711953
830	0.02058971277
831	0.02055949564
832	0.02055420002
833	0.02049793903
834	0.02049440064
835	0.02043797023
836	0.02043353179
837	0.02042813011
838	0.02042228868
839	0.02036210333
840	0.02028479525
841	0.02027929126
842	0.02022797862
843	0.02015610213
844	0.0201241542
845	0.02008751406
846	0.02005765302
847	0.02001793056
848	0.01996219192
849	0.01988895505
850	0.01984326914
851	0.01978991602
852	0.01978524638
853	0.01978028601
854	0.01973776155
855	0.01971598007
856	0.01968530775
857	0.01968183762
858	0.01967684433
859	0.01963405444
860	0.01962755765
861	0.01962747125
862	0.01962002178
863	0.01955298758
864	0.0195115637
865	0.01945379025
866	0.01940201933
867	0.01933913208
868	0.01932364089
869	0.01927048411
870	0.01925169697
871	0.01919952692
872	0.01916169542
873	0.01914446258
874	0.01911680767
875	0.01908097542
876	0.01907065522
877	0.01901098663
878	0.01900351746
879	0.01898432031
880	0.01893609468
881	0.01890020896
882	0.01886514897
883	0.01879537703
884	0.01879140235
885	0.01877355395
886	0.01876371111
887	0.01871669848
888	0.01865861462
889	0.01861517133
890	0.01852635073
891	0.01849351663
892	0.01843190246
893	0.01839977351
894	0.01837133418
895	0.01831631792
896	0.01830058564
897	0.01827530663
898	0.01827131335
899	0.01822425877
900	0.01820977977
901	0.01815357356
902	0.01809062706
903	0.01806008739
904	0.01799973322
905	0.01795759358
906	0.01793093661
907	0.01792807782
908	0.01787489255
909	0.01782423594
910	0.01780842577
911	0.01777822602
912	0.01777232335
913	0.01777088006
914	0.01771413093
915	0.01769596965
916	0.01769021312
917	0.01764486427
918	0.01761946635
919	0.01758391033
920	0.0175813367
921	0.01753265153
922	0.01749281685
923	0.01746595606
924	0.01742485887
925	0.01741135821
926	0.01738359161
927	0.01733074761
928	0.01728750077
929	0.01723232066
930	0.01718964736
931	0.01718677387
932	0.01716717709
933	0.01716173735
934	0.01715892442
935	0.01715613917
936	0.01711466769
937	0.0170958128
938	0.01707752299
939	0.01703100047
940	0.01698400841
941	0.01693801939
942	0.0168814664
943	0.01685365945
944	0.01682725616
945	0.01680857531
946	0.01676152596
947	0.01672354352
948	0.0167023473
949	0.01664904475
950	0.01662933361
951	0.0166271407
952	0.01657517255
953	0.0165316592
954	0.01649645908
955	0.01646968952
956	0.01644844851
957	0.016400505
958	0.01635096494
959	0.01633521374
960	0.0162942641
961	0.01625469145
962	0.01621558316
963	0.0162129404
964	0.01621032342
965	0.0161830274
966	0.01617810252
967	0.0161413108
968	0.01612606174
969	0.01608942373
970	0.01608931303
971	0.0160460504
972	0.01601253432
973	0.01598021845
974	0.01596553217
975	0.01596299409
976	0.01595775068
977	0.01594586008
978	0.01594171991
979	0.01591588521
980	0.01589335839
981	0.01588982051
982	0.01588740146
983	0.01585105784
984	0.01583521258
985	0.01578423403
986	0.01575345429
987	0.01573834297
988	0.01570500985
989	0.01566108553
990	0.01566108095
991	0.01566103069
992	0.01563825505
993	0.01562428139
994	0.01559995116
995	0.01558321888
996	0.01558061938
997	0.01554585684
998	0.01551479415
999	0.01548719758
