iter	Passed	Remaining
0	3	3512
1	6	3390
2	9	3265
3	12	3173
4	17	3383
5	20	3416
6	23	3381
7	27	3424
8	30	3337
9	35	3522
10	40	3638
11	44	3625
12	48	3654
13	51	3640
14	54	3606
15	58	3588
16	61	3544
17	66	3631
18	72	3719
19	75	3718
20	79	3719
21	84	3774
22	88	3759
23	91	3725
24	95	3730
25	98	3705
26	102	3698
27	105	3668
28	109	3652
29	112	3636
30	115	3616
31	119	3609
32	122	3594
33	126	3586
34	129	3576
35	133	3563
36	136	3561
37	140	3553
38	147	3638
39	152	3658
40	156	3662
41	159	3648
42	164	3651
43	167	3632
44	170	3611
45	172	3585
46	176	3569
47	179	3556
48	182	3546
49	186	3534
50	190	3536
51	198	3625
52	203	3636
53	210	3679
54	217	3730
55	223	3764
56	228	3782
57	233	3800
58	238	3809
59	245	3842
60	250	3855
61	257	3897
62	263	3925
63	270	3957
64	277	3996
65	284	4025
66	290	4046
67	296	4063
68	300	4052
69	305	4063
70	310	4064
71	316	4079
72	320	4068
73	326	4080
74	332	4103
75	338	4121
76	344	4126
77	350	4139
78	355	4138
79	360	4148
80	366	4157
81	372	4169
82	378	4184
83	384	4191
84	390	4205
85	396	4211
86	402	4223
87	408	4231
88	414	4242
89	418	4236
90	424	4236
91	428	4232
92	433	4227
93	437	4220
94	441	4202
95	447	4213
96	451	4202
97	458	4218
98	463	4220
99	469	4222
100	475	4232
101	481	4235
102	490	4268
103	495	4272
104	502	4283
105	508	4290
106	513	4288
107	518	4285
108	525	4295
109	531	4299
110	534	4283
111	540	4287
112	546	4292
113	551	4286
114	558	4294
115	564	4302
116	570	4308
117	574	4293
118	580	4296
119	586	4299
120	593	4309
121	599	4316
122	606	4321
123	611	4317
124	616	4317
125	623	4322
126	629	4324
127	635	4328
128	641	4329
129	646	4325
130	651	4324
131	658	4327
132	664	4329
133	669	4327
134	674	4322
135	732	4655
136	887	5589
137	895	5592
138	900	5579
139	907	5575
140	914	5572
141	921	5568
142	927	5561
143	933	5551
144	938	5536
145	946	5536
146	951	5519
147	956	5506
148	963	5500
149	969	5493
150	975	5482
151	981	5476
152	986	5461
153	991	5446
154	994	5424
155	998	5399
156	1001	5377
157	1004	5354
158	1007	5329
159	1011	5307
160	1014	5288
161	1020	5279
162	1026	5268
163	1029	5247
164	1063	5380
165	1067	5361
